year,grouping,geography,geography_type,estimate,share
2020,Manufacturing,All Centers,MIC (2022 RTP),90651,0.378951989
2020,"Transportation, Distribution & Logistics (TDL)",All Centers,MIC (2022 RTP),25864,0.10812031
2020,Warehousing & Wholesale,All Centers,MIC (2022 RTP),29603,0.123750601
2020,Other Industrial,All Centers,MIC (2022 RTP),12022,0.050256046
2020,Industrial,All Centers,MIC (2022 RTP),182029,0.760943085
2020,Non-industrial,All Centers,MIC (2022 RTP),57186,0.239056915
2020,Total,All Centers,MIC (2022 RTP),239215,1
2005,Construction,Region,County,97839,0.059547872
2005,Manufacturing,Region,County,162142,0.098684687
2005,"Transportation, Distribution & Logistics (TDL)",Region,County,74977,0.045633345
2005,Warehousing & Wholesale,Region,County,81395,0.04953954
2005,Other Industrial,Region,County,58876,0.035833773
2005,Industrial,Region,County,475229,0.289239217
2005,Non-industrial,Region,County,1167802,0.710760783
2005,Total,Region,County,1643031,1
2010,Construction,Region,County,79847,0.04770759
2010,Manufacturing,Region,County,162743,0.097236919
2010,"Transportation, Distribution & Logistics (TDL)",Region,County,66591,0.039787294
2010,Warehousing & Wholesale,Region,County,80840,0.048300895
2010,Other Industrial,Region,County,74199,0.04433298
2010,Industrial,Region,County,464220,0.277365677
2010,Non-industrial,Region,County,1209455,0.722634323
2010,Total,Region,County,1673675,1
2015,Construction,Region,County,102464,0.054252279
2015,Manufacturing,Region,County,204893,0.108486026
2015,"Transportation, Distribution & Logistics (TDL)",Region,County,73612,0.038975823
2015,Warehousing & Wholesale,Region,County,88587,0.046904733
2015,Other Industrial,Region,County,79299,0.041986956
2015,Industrial,Region,County,548854,0.290605287
2015,Non-industrial,Region,County,1339804,0.709394713
2015,Total,Region,County,1888658,1
2020,Construction,Region,County,130049,0.060927492
2020,Manufacturing,Region,County,199833,0.093621046
2020,"Transportation, Distribution & Logistics (TDL)",Region,County,84287,0.039488158
2020,Warehousing & Wholesale,Region,County,97277,0.045573927
2020,Other Industrial,Region,County,90849,0.042562432
2020,Industrial,Region,County,602296,0.282173524
2020,Non-industrial,Region,County,1532192,0.717826476
2020,Total,Region,County,2134488,1
