pdpurp,tmodetp,tour_d_rgc,toexpfac
Work,HOV3+,Seattle First Hill/Capitol Hill,2590.0
Work,HOV3+,Seattle Northgate,734.0
Work,HOV3+,Seattle South Lake Union,2724.0
Work,HOV3+,Seattle University Community,1982.0
Work,HOV3+,Seattle Uptown,1034.0
Work,HOV3+,Silverdale,596.0
Work,HOV3+,Sumner Pacific,1023.0
Work,HOV3+,Tacoma Downtown,3480.0
Work,HOV3+,Tacoma Mall,533.0
Work,HOV3+,Tukwila,1382.0
Work,HOV3+,University Place,311.0
Work,Transit,Auburn,205.0
Work,Transit,Ballard-Interbay,738.0
Work,Transit,Bellevue,3430.0
Work,Transit,Bothell Canyon Park,145.0
Work,Transit,Bremerton,241.0
Work,Transit,Burien,139.0
Work,Transit,Cascade,48.0
Work,Transit,Duwamish,4134.0
Work,Transit,Everett,370.0
Work,Transit,Federal Way,119.0
Work,Transit,Greater Downtown Kirkland,254.0
Work,Transit,Issaquah,137.0
Work,Transit,Kent,325.0
Work,Transit,Kent MIC,1542.0
Work,Transit,Kirkland Totem Lake,231.0
Work,Transit,Lakewood,56.0
Work,Transit,Lynnwood,259.0
Work,Transit,North Tukwila,250.0
Work,Transit,Not in RGC,29544.0
Work,Transit,Paine Field / Boeing Everett,581.0
Work,Transit,Port of Tacoma,71.0
Work,Transit,Puyallup Downtown,193.0
Work,Transit,Puyallup South Hill,74.0
Work,Transit,Redmond Downtown,328.0
Work,Transit,Redmond-Overlake,1685.0
Work,Transit,Renton,454.0
Work,Transit,SeaTac,1582.0
Work,Transit,Seattle Downtown,44662.0
Work,Transit,Seattle First Hill/Capitol Hill,6227.0
Work,Transit,Seattle Northgate,453.0
Work,Transit,Seattle South Lake Union,9066.0
Work,Transit,Seattle University Community,6282.0
Work,Transit,Seattle Uptown,1088.0
Work,Transit,Silverdale,60.0
Work,Transit,Sumner Pacific,43.0
Work,Transit,Tacoma Downtown,1271.0
Work,Transit,Tacoma Mall,175.0
Work,Transit,Tukwila,872.0
Work,Transit,University Place,67.0
Work,Park,Auburn,92.0
Work,Park,Ballard-Interbay,190.0
Work,Park,Bellevue,1826.0
Work,Park,Bothell Canyon Park,154.0
Work,Park,Bremerton,192.0
Work,Park,Burien,53.0
Work,Park,Cascade,54.0
Work,Park,Duwamish,879.0
Work,Park,Everett,347.0
Work,Park,Federal Way,89.0
Work,Park,Greater Downtown Kirkland,175.0
Work,Park,Issaquah,100.0
Work,Park,Kent,140.0
Work,Park,Kent MIC,791.0
Work,Park,Kirkland Totem Lake,176.0
Work,Park,Lakewood,60.0
Work,Park,Lynnwood,184.0
Work,Park,North Tukwila,74.0
Work,Park,Not in RGC,14986.0
Work,Park,Paine Field / Boeing Everett,385.0
Work,Park,Port of Tacoma,53.0
Work,Park,Puyallup Downtown,102.0
Work,Park,Puyallup South Hill,118.0
Work,Park,Redmond Downtown,193.0
Work,Park,Redmond-Overlake,975.0
Work,Park,Renton,296.0
Work,Park,SeaTac,459.0
Work,Park,Seattle Downtown,9358.0
Work,Park,Seattle First Hill/Capitol Hill,1497.0
Work,Park,Seattle Northgate,174.0
Work,Park,Seattle South Lake Union,2336.0
Work,Park,Seattle University Community,1214.0
Work,Park,Seattle Uptown,308.0
Work,Park,Silverdale,126.0
Work,Park,Sumner Pacific,26.0
Work,Park,Tacoma Downtown,1148.0
Work,Park,Tacoma Mall,175.0
Work,Park,Tukwila,400.0
Work,Park,University Place,48.0
Work,TNC,Auburn,26.0
Work,TNC,Ballard-Interbay,178.0
Work,TNC,Bellevue,320.0
Work,TNC,Bothell Canyon Park,65.0
Work,TNC,Bremerton,70.0
Work,TNC,Burien,30.0
Work,TNC,Cascade,42.0
Work,TNC,Duwamish,689.0
Work,TNC,Everett,117.0
Work,TNC,Federal Way,9.0
Work,TNC,Frederickson,11.0
Work,TNC,Greater Downtown Kirkland,66.0
Work,TNC,Issaquah,50.0
Work,TNC,Kent,53.0
Work,TNC,Kent MIC,330.0
Work,TNC,Kirkland Totem Lake,96.0
Work,TNC,Lakewood,31.0
Work,TNC,Lynnwood,68.0
Work,TNC,North Tukwila,32.0
Work,TNC,Not in RGC,8409.0
Work,TNC,Paine Field / Boeing Everett,166.0
Work,TNC,Port of Tacoma,43.0
Work,TNC,Puget Sound Industrial Center- Bremerton,1.0
Work,TNC,Puyallup Downtown,24.0
Work,TNC,Puyallup South Hill,36.0
Work,TNC,Redmond Downtown,68.0
Work,TNC,Redmond-Overlake,210.0
Work,TNC,Renton,78.0
Work,TNC,SeaTac,121.0
Work,TNC,Seattle Downtown,2953.0
Work,TNC,Seattle First Hill/Capitol Hill,1049.0
Work,TNC,Seattle Northgate,67.0
Work,TNC,Seattle South Lake Union,817.0
Work,TNC,Seattle University Community,372.0
Work,TNC,Seattle Uptown,282.0
Work,TNC,Silverdale,53.0
Work,TNC,Sumner Pacific,63.0
Work,TNC,Tacoma Downtown,337.0
Work,TNC,Tacoma Mall,46.0
Work,TNC,Tukwila,142.0
Work,TNC,University Place,28.0
School,Walk,Auburn,8.0
School,Walk,Ballard-Interbay,79.0
School,Walk,Bellevue,284.0
School,Walk,Bothell Canyon Park,43.0
School,Walk,Bremerton,10.0
School,Walk,Burien,42.0
School,Walk,Cascade,20.0
School,Walk,Duwamish,42.0
School,Walk,Everett,153.0
School,Walk,Federal Way,5.0
School,Walk,Frederickson,1.0
School,Walk,Greater Downtown Kirkland,81.0
School,Walk,Kent,57.0
School,Walk,Kent MIC,11.0
School,Walk,Kirkland Totem Lake,183.0
School,Walk,Lakewood,35.0
School,Walk,Lynnwood,48.0
School,Walk,North Tukwila,1.0
School,Walk,Not in RGC,28642.0
School,Walk,Paine Field / Boeing Everett,14.0
School,Walk,Port of Tacoma,2.0
School,Walk,Puyallup Downtown,80.0
School,Walk,Puyallup South Hill,28.0
School,Walk,Redmond Downtown,79.0
School,Walk,Redmond-Overlake,126.0
School,Walk,Renton,97.0
School,Walk,SeaTac,58.0
School,Walk,Seattle Downtown,538.0
School,Walk,Seattle First Hill/Capitol Hill,1448.0
School,Walk,Seattle Northgate,72.0
School,Walk,Seattle South Lake Union,102.0
School,Walk,Seattle University Community,2319.0
School,Walk,Seattle Uptown,79.0
School,Walk,Silverdale,58.0
School,Walk,Tacoma Downtown,575.0
School,Walk,Tacoma Mall,34.0
School,Walk,Tukwila,16.0
School,Walk,University Place,79.0
School,Bike,Auburn,4.0
School,Bike,Ballard-Interbay,42.0
School,Bike,Bellevue,43.0
School,Bike,Bothell Canyon Park,42.0
School,Bike,Bremerton,1.0
School,Bike,Burien,13.0
School,Bike,Cascade,20.0
School,Bike,Duwamish,42.0
School,Bike,Everett,39.0
School,Bike,Federal Way,1.0
School,Bike,Greater Downtown Kirkland,24.0
School,Bike,Kent,22.0
School,Bike,Kent MIC,13.0
School,Bike,Kirkland Totem Lake,248.0
School,Bike,Lakewood,17.0
School,Bike,Lynnwood,26.0
School,Bike,North Tukwila,1.0
School,Bike,Not in RGC,15091.0
School,Bike,Paine Field / Boeing Everett,12.0
School,Bike,Port of Tacoma,6.0
School,Bike,Puyallup Downtown,41.0
School,Bike,Puyallup South Hill,19.0
School,Bike,Redmond Downtown,26.0
School,Bike,Redmond-Overlake,41.0
School,Bike,Renton,29.0
School,Bike,SeaTac,13.0
School,Bike,Seattle Downtown,152.0
School,Bike,Seattle First Hill/Capitol Hill,662.0
School,Bike,Seattle Northgate,26.0
School,Bike,Seattle South Lake Union,39.0
School,Bike,Seattle University Community,2648.0
School,Bike,Seattle Uptown,22.0
School,Bike,Silverdale,52.0
School,Bike,Sumner Pacific,1.0
School,Bike,Tacoma Downtown,380.0
School,Bike,Tacoma Mall,18.0
School,Bike,Tukwila,12.0
School,Bike,University Place,32.0
School,SOV,Auburn,13.0
School,SOV,Ballard-Interbay,30.0
School,SOV,Bellevue,14.0
School,SOV,Bothell Canyon Park,75.0
School,SOV,Burien,13.0
School,SOV,Cascade,36.0
School,SOV,Duwamish,41.0
School,SOV,Everett,22.0
School,SOV,Federal Way,4.0
School,SOV,Frederickson,7.0
School,SOV,Greater Downtown Kirkland,42.0
School,SOV,Issaquah,4.0
School,SOV,Kent,12.0
School,SOV,Kent MIC,56.0
School,SOV,Kirkland Totem Lake,1359.0
School,SOV,Lakewood,31.0
School,SOV,Lynnwood,39.0
School,SOV,North Tukwila,3.0
School,SOV,Not in RGC,46575.0
School,SOV,Paine Field / Boeing Everett,15.0
School,SOV,Port of Tacoma,9.0
School,SOV,Puyallup Downtown,34.0
School,SOV,Puyallup South Hill,37.0
School,SOV,Redmond Downtown,38.0
School,SOV,Redmond-Overlake,52.0
School,SOV,Renton,57.0
School,SOV,SeaTac,17.0
School,SOV,Seattle Downtown,31.0
School,SOV,Seattle First Hill/Capitol Hill,475.0
School,SOV,Seattle Northgate,37.0
School,SOV,Seattle South Lake Union,11.0
School,SOV,Seattle University Community,1764.0
School,SOV,Seattle Uptown,6.0
School,SOV,Silverdale,118.0
School,SOV,Sumner Pacific,2.0
School,SOV,Tacoma Downtown,1214.0
School,SOV,Tacoma Mall,25.0
School,SOV,Tukwila,41.0
School,SOV,University Place,17.0
School,HOV2,Auburn,44.0
School,HOV2,Ballard-Interbay,381.0
School,HOV2,Bellevue,142.0
School,HOV2,Bothell Canyon Park,484.0
School,HOV2,Bremerton,27.0
School,HOV2,Burien,173.0
School,HOV2,Cascade,149.0
School,HOV2,Duwamish,546.0
School,HOV2,Everett,128.0
School,HOV2,Federal Way,22.0
School,HOV2,Frederickson,25.0
School,HOV2,Greater Downtown Kirkland,303.0
School,HOV2,Issaquah,5.0
School,HOV2,Kent,214.0
School,HOV2,Kent MIC,302.0
School,HOV2,Kirkland Totem Lake,695.0
School,HOV2,Lakewood,184.0
School,HOV2,Lynnwood,325.0
School,HOV2,North Tukwila,17.0
School,HOV2,Not in RGC,123492.0
School,HOV2,Paine Field / Boeing Everett,162.0
School,HOV2,Port of Tacoma,40.0
School,HOV2,Puget Sound Industrial Center- Bremerton,8.0
School,HOV2,Puyallup Downtown,366.0
School,HOV2,Puyallup South Hill,250.0
School,HOV2,Redmond Downtown,245.0
School,HOV2,Redmond-Overlake,474.0
School,HOV2,Renton,430.0
School,HOV2,SeaTac,138.0
School,HOV2,Seattle Downtown,215.0
School,HOV2,Seattle First Hill/Capitol Hill,544.0
School,HOV2,Seattle Northgate,313.0
School,HOV2,Seattle South Lake Union,96.0
School,HOV2,Seattle University Community,828.0
School,HOV2,Seattle Uptown,81.0
School,HOV2,Silverdale,534.0
School,HOV2,Sumner Pacific,2.0
School,HOV2,Tacoma Downtown,767.0
School,HOV2,Tacoma Mall,219.0
School,HOV2,Tukwila,290.0
School,HOV2,University Place,265.0
School,HOV3+,Auburn,74.0
School,HOV3+,Ballard-Interbay,591.0
School,HOV3+,Bellevue,495.0
School,HOV3+,Bothell Canyon Park,682.0
School,HOV3+,Bremerton,45.0
School,HOV3+,Burien,249.0
School,HOV3+,Cascade,281.0
School,HOV3+,Duwamish,873.0
School,HOV3+,Everett,324.0
School,HOV3+,Federal Way,48.0
School,HOV3+,Frederickson,37.0
School,HOV3+,Greater Downtown Kirkland,435.0
School,HOV3+,Issaquah,4.0
School,HOV3+,Kent,367.0
School,HOV3+,Kent MIC,456.0
School,HOV3+,Kirkland Totem Lake,1018.0
School,HOV3+,Lakewood,224.0
School,HOV3+,Lynnwood,518.0
School,HOV3+,North Tukwila,29.0
School,HOV3+,Not in RGC,189947.0
School,HOV3+,Paine Field / Boeing Everett,247.0
School,HOV3+,Port of Tacoma,48.0
School,HOV3+,Puget Sound Industrial Center- Bremerton,7.0
School,HOV3+,Puyallup Downtown,584.0
School,HOV3+,Puyallup South Hill,328.0
School,HOV3+,Redmond Downtown,369.0
School,HOV3+,Redmond-Overlake,673.0
School,HOV3+,Renton,599.0
School,HOV3+,SeaTac,189.0
School,HOV3+,Seattle Downtown,786.0
School,HOV3+,Seattle First Hill/Capitol Hill,1191.0
School,HOV3+,Seattle Northgate,447.0
School,HOV3+,Seattle South Lake Union,285.0
School,HOV3+,Seattle University Community,1727.0
School,HOV3+,Seattle Uptown,217.0
School,HOV3+,Silverdale,815.0
School,HOV3+,Sumner Pacific,8.0
School,HOV3+,Tacoma Downtown,1474.0
School,HOV3+,Tacoma Mall,355.0
School,HOV3+,Tukwila,437.0
School,HOV3+,University Place,397.0
School,Transit,Auburn,15.0
School,Transit,Ballard-Interbay,69.0
School,Transit,Bellevue,155.0
School,Transit,Bothell Canyon Park,39.0
School,Transit,Bremerton,9.0
School,Transit,Burien,24.0
School,Transit,Cascade,7.0
School,Transit,Duwamish,157.0
School,Transit,Everett,49.0
School,Transit,Federal Way,6.0
School,Transit,Greater Downtown Kirkland,50.0
School,Transit,Issaquah,1.0
School,Transit,Kent,18.0
School,Transit,Kent MIC,28.0
School,Transit,Kirkland Totem Lake,346.0
School,Transit,Lakewood,35.0
School,Transit,Lynnwood,44.0
School,Transit,North Tukwila,3.0
School,Transit,Not in RGC,19351.0
School,Transit,Paine Field / Boeing Everett,19.0
School,Transit,Port of Tacoma,7.0
School,Transit,Puyallup Downtown,34.0
School,Transit,Puyallup South Hill,15.0
School,Transit,Redmond Downtown,22.0
School,Transit,Redmond-Overlake,61.0
School,Transit,Renton,106.0
School,Transit,SeaTac,38.0
School,Transit,Seattle Downtown,1392.0
School,Transit,Seattle First Hill/Capitol Hill,2645.0
School,Transit,Seattle Northgate,73.0
School,Transit,Seattle South Lake Union,189.0
School,Transit,Seattle University Community,7601.0
School,Transit,Seattle Uptown,92.0
School,Transit,Silverdale,39.0
School,Transit,Sumner Pacific,2.0
School,Transit,Tacoma Downtown,1261.0
School,Transit,Tacoma Mall,35.0
School,Transit,Tukwila,53.0
School,Transit,University Place,30.0
School,School Bus,Auburn,78.0
School,School Bus,Ballard-Interbay,496.0
School,School Bus,Bellevue,853.0
School,School Bus,Bothell Canyon Park,570.0
School,School Bus,Bremerton,41.0
School,School Bus,Burien,247.0
School,School Bus,Cascade,271.0
School,School Bus,Duwamish,734.0
School,School Bus,Everett,515.0
School,School Bus,Federal Way,47.0
School,School Bus,Frederickson,39.0
School,School Bus,Greater Downtown Kirkland,409.0
School,School Bus,Issaquah,5.0
School,School Bus,Kent,377.0
School,School Bus,Kent MIC,419.0
School,School Bus,Kirkland Totem Lake,614.0
School,School Bus,Lakewood,253.0
School,School Bus,Lynnwood,452.0
School,School Bus,North Tukwila,38.0
School,School Bus,Not in RGC,177189.0
School,School Bus,Paine Field / Boeing Everett,207.0
School,School Bus,Port of Tacoma,48.0
School,School Bus,Puget Sound Industrial Center- Bremerton,3.0
School,School Bus,Puyallup Downtown,557.0
School,School Bus,Puyallup South Hill,305.0
School,School Bus,Redmond Downtown,412.0
School,School Bus,Redmond-Overlake,602.0
School,School Bus,Renton,689.0
School,School Bus,SeaTac,172.0
School,School Bus,Seattle Downtown,1314.0
School,School Bus,Seattle First Hill/Capitol Hill,1088.0
School,School Bus,Seattle Northgate,408.0
School,School Bus,Seattle South Lake Union,392.0
School,School Bus,Seattle University Community,625.0
School,School Bus,Seattle Uptown,303.0
School,School Bus,Silverdale,832.0
School,School Bus,Sumner Pacific,11.0
School,School Bus,Tacoma Downtown,1135.0
School,School Bus,Tacoma Mall,334.0
School,School Bus,Tukwila,416.0
School,School Bus,University Place,421.0
School,TNC,Auburn,5.0
School,TNC,Ballard-Interbay,51.0
School,TNC,Bellevue,92.0
School,TNC,Bothell Canyon Park,67.0
School,TNC,Bremerton,3.0
School,TNC,Burien,24.0
School,TNC,Cascade,23.0
School,TNC,Duwamish,66.0
School,TNC,Everett,52.0
School,TNC,Federal Way,8.0
School,TNC,Frederickson,6.0
School,TNC,Greater Downtown Kirkland,46.0
School,TNC,Kent,39.0
School,TNC,Kent MIC,30.0
School,TNC,Kirkland Totem Lake,148.0
School,TNC,Lakewood,33.0
School,TNC,Lynnwood,61.0
School,TNC,North Tukwila,1.0
School,TNC,Not in RGC,21652.0
School,TNC,Paine Field / Boeing Everett,19.0
School,TNC,Port of Tacoma,3.0
School,TNC,Puyallup Downtown,47.0
School,TNC,Puyallup South Hill,29.0
School,TNC,Redmond Downtown,41.0
School,TNC,Redmond-Overlake,79.0
School,TNC,Renton,66.0
School,TNC,SeaTac,20.0
School,TNC,Seattle Downtown,150.0
School,TNC,Seattle First Hill/Capitol Hill,351.0
School,TNC,Seattle Northgate,58.0
School,TNC,Seattle South Lake Union,55.0
School,TNC,Seattle University Community,610.0
School,TNC,Seattle Uptown,40.0
School,TNC,Silverdale,67.0
School,TNC,Tacoma Downtown,259.0
School,TNC,Tacoma Mall,42.0
School,TNC,Tukwila,18.0
School,TNC,University Place,42.0
Escort,Walk,Auburn,54.0
Escort,Walk,Ballard-Interbay,170.0
Escort,Walk,Bellevue,511.0
Escort,Walk,Bothell Canyon Park,43.0
Escort,Walk,Bremerton,144.0
Escort,Walk,Burien,61.0
Escort,Walk,Cascade,41.0
Escort,Walk,Duwamish,159.0
Escort,Walk,Everett,383.0
Escort,Walk,Federal Way,15.0
Escort,Walk,Frederickson,6.0
Escort,Walk,Greater Downtown Kirkland,95.0
Escort,Walk,Issaquah,18.0
Escort,Walk,Kent,135.0
Escort,Walk,Kent MIC,83.0
Escort,Walk,Kirkland Totem Lake,101.0
Escort,Walk,Lakewood,106.0
Escort,Walk,Lynnwood,95.0
Escort,Walk,North Tukwila,9.0
Escort,Walk,Not in RGC,20496.0
Escort,Walk,Paine Field / Boeing Everett,51.0
Escort,Walk,Port of Tacoma,15.0
Escort,Walk,Puget Sound Industrial Center- Bremerton,1.0
Escort,Walk,Puyallup Downtown,80.0
Escort,Walk,Puyallup South Hill,45.0
Escort,Walk,Redmond Downtown,161.0
Escort,Walk,Redmond-Overlake,144.0
Escort,Walk,Renton,105.0
Escort,Walk,SeaTac,105.0
Escort,Walk,Seattle Downtown,1997.0
Escort,Walk,Seattle First Hill/Capitol Hill,1086.0
Escort,Walk,Seattle Northgate,127.0
Escort,Walk,Seattle South Lake Union,487.0
Escort,Walk,Seattle University Community,277.0
Escort,Walk,Seattle Uptown,310.0
Escort,Walk,Silverdale,68.0
Escort,Walk,Sumner Pacific,26.0
Escort,Walk,Tacoma Downtown,785.0
Escort,Walk,Tacoma Mall,92.0
Escort,Walk,Tukwila,26.0
Escort,Walk,University Place,101.0
Escort,Bike,Auburn,39.0
Escort,Bike,Ballard-Interbay,101.0
Escort,Bike,Bellevue,115.0
Escort,Bike,Bothell Canyon Park,54.0
Escort,Bike,Bremerton,32.0
Escort,Bike,Burien,31.0
Escort,Bike,Cascade,31.0
Escort,Bike,Duwamish,347.0
Escort,Bike,Everett,140.0
Escort,Bike,Federal Way,20.0
Escort,Bike,Frederickson,7.0
Escort,Bike,Greater Downtown Kirkland,45.0
Escort,Bike,Issaquah,24.0
Escort,Bike,Kent,71.0
Escort,Bike,Kent MIC,168.0
Escort,Bike,Kirkland Totem Lake,68.0
Escort,Bike,Lakewood,44.0
Escort,Bike,Lynnwood,71.0
Escort,Bike,North Tukwila,24.0
Escort,Bike,Not in RGC,10689.0
Escort,Bike,Paine Field / Boeing Everett,61.0
Escort,Bike,Port of Tacoma,55.0
Escort,Bike,Puyallup Downtown,85.0
Escort,Bike,Puyallup South Hill,23.0
Escort,Bike,Redmond Downtown,60.0
Escort,Bike,Redmond-Overlake,51.0
Escort,Bike,Renton,81.0
Escort,Bike,SeaTac,42.0
Escort,Bike,Seattle Downtown,676.0
Escort,Bike,Seattle First Hill/Capitol Hill,330.0
Escort,Bike,Seattle Northgate,51.0
Escort,Bike,Seattle South Lake Union,129.0
Escort,Bike,Seattle University Community,129.0
Escort,Bike,Seattle Uptown,131.0
Escort,Bike,Silverdale,50.0
Escort,Bike,Sumner Pacific,37.0
Escort,Bike,Tacoma Downtown,348.0
Escort,Bike,Tacoma Mall,68.0
Escort,Bike,Tukwila,60.0
Escort,Bike,University Place,50.0
Escort,SOV,Auburn,53.0
Escort,SOV,Ballard-Interbay,100.0
Escort,SOV,Bellevue,131.0
