pdpurp,tmodetp,tour_d_rgc,toexpfac
Work,Walk,Auburn,46.0
Work,Walk,Ballard-Interbay,690.0
Work,Walk,Bellevue,3827.0
Work,Walk,Bothell Canyon Park,42.0
Work,Walk,Bremerton,391.0
Work,Walk,Burien,96.0
Work,Walk,Cascade,33.0
Work,Walk,Duwamish,318.0
Work,Walk,Everett,723.0
Work,Walk,Federal Way,39.0
Work,Walk,Frederickson,2.0
Work,Walk,Greater Downtown Kirkland,213.0
Work,Walk,Issaquah,22.0
Work,Walk,Kent,56.0
Work,Walk,Kent MIC,59.0
Work,Walk,Kirkland Totem Lake,126.0
Work,Walk,Lakewood,82.0
Work,Walk,Lynnwood,157.0
Work,Walk,North Tukwila,9.0
Work,Walk,Not in RGC,18109.0
Work,Walk,Paine Field / Boeing Everett,174.0
Work,Walk,Port of Tacoma,14.0
Work,Walk,Puyallup Downtown,66.0
Work,Walk,Puyallup South Hill,55.0
Work,Walk,Redmond Downtown,502.0
Work,Walk,Redmond-Overlake,452.0
Work,Walk,Renton,205.0
Work,Walk,SeaTac,194.0
Work,Walk,Seattle Downtown,22019.0
Work,Walk,Seattle First Hill/Capitol Hill,6989.0
Work,Walk,Seattle Northgate,462.0
Work,Walk,Seattle South Lake Union,6935.0
Work,Walk,Seattle University Community,1623.0
Work,Walk,Seattle Uptown,2623.0
Work,Walk,Silverdale,150.0
Work,Walk,Sumner Pacific,29.0
Work,Walk,Tacoma Downtown,1931.0
Work,Walk,Tacoma Mall,145.0
Work,Walk,Tukwila,12.0
Work,Walk,University Place,93.0
Work,Bike,Auburn,42.0
Work,Bike,Ballard-Interbay,236.0
Work,Bike,Bellevue,437.0
Work,Bike,Bothell Canyon Park,77.0
Work,Bike,Bremerton,109.0
Work,Bike,Burien,34.0
Work,Bike,Cascade,102.0
Work,Bike,Duwamish,714.0
Work,Bike,Everett,177.0
Work,Bike,Federal Way,17.0
Work,Bike,Frederickson,22.0
Work,Bike,Greater Downtown Kirkland,86.0
Work,Bike,Issaquah,27.0
Work,Bike,Kent,54.0
Work,Bike,Kent MIC,323.0
Work,Bike,Kirkland Totem Lake,113.0
Work,Bike,Lakewood,50.0
Work,Bike,Lynnwood,149.0
Work,Bike,North Tukwila,58.0
Work,Bike,Not in RGC,10515.0
Work,Bike,Paine Field / Boeing Everett,403.0
Work,Bike,Port of Tacoma,67.0
Work,Bike,Puget Sound Industrial Center- Bremerton,1.0
Work,Bike,Puyallup Downtown,39.0
Work,Bike,Puyallup South Hill,58.0
Work,Bike,Redmond Downtown,73.0
Work,Bike,Redmond-Overlake,245.0
Work,Bike,Renton,101.0
Work,Bike,SeaTac,191.0
Work,Bike,Seattle Downtown,2266.0
Work,Bike,Seattle First Hill/Capitol Hill,582.0
Work,Bike,Seattle Northgate,197.0
Work,Bike,Seattle South Lake Union,885.0
Work,Bike,Seattle University Community,471.0
Work,Bike,Seattle Uptown,285.0
Work,Bike,Silverdale,73.0
Work,Bike,Sumner Pacific,98.0
Work,Bike,Tacoma Downtown,511.0
Work,Bike,Tacoma Mall,87.0
Work,Bike,Tukwila,120.0
Work,Bike,University Place,53.0
Work,SOV,Auburn,2338.0
Work,SOV,Ballard-Interbay,8179.0
Work,SOV,Bellevue,20069.0
Work,SOV,Bothell Canyon Park,5865.0
Work,SOV,Bremerton,5945.0
Work,SOV,Burien,1994.0
Work,SOV,Cascade,4226.0
Work,SOV,Duwamish,35241.0
Work,SOV,Everett,7511.0
Work,SOV,Federal Way,1025.0
Work,SOV,Frederickson,1186.0
Work,SOV,Greater Downtown Kirkland,5109.0
Work,SOV,Issaquah,3511.0
Work,SOV,Kent,3889.0
Work,SOV,Kent MIC,31480.0
Work,SOV,Kirkland Totem Lake,7492.0
Work,SOV,Lakewood,2247.0
Work,SOV,Lynnwood,6866.0
Work,SOV,North Tukwila,4130.0
Work,SOV,Not in RGC,623702.0
Work,SOV,Paine Field / Boeing Everett,22678.0
Work,SOV,Port of Tacoma,4936.0
Work,SOV,Puget Sound Industrial Center- Bremerton,177.0
Work,SOV,Puyallup Downtown,1845.0
Work,SOV,Puyallup South Hill,3499.0
Work,SOV,Redmond Downtown,4070.0
Work,SOV,Redmond-Overlake,16310.0
Work,SOV,Renton,7833.0
Work,SOV,SeaTac,13180.0
Work,SOV,Seattle Downtown,58206.0
Work,SOV,Seattle First Hill/Capitol Hill,18447.0
Work,SOV,Seattle Northgate,5784.0
Work,SOV,Seattle South Lake Union,19918.0
Work,SOV,Seattle University Community,13817.0
Work,SOV,Seattle Uptown,7668.0
Work,SOV,Silverdale,4528.0
Work,SOV,Sumner Pacific,7597.0
Work,SOV,Tacoma Downtown,22986.0
Work,SOV,Tacoma Mall,3814.0
Work,SOV,Tukwila,10206.0
Work,SOV,University Place,2113.0
Work,HOV2,Auburn,603.0
Work,HOV2,Ballard-Interbay,1986.0
Work,HOV2,Bellevue,5791.0
Work,HOV2,Bothell Canyon Park,1530.0
Work,HOV2,Bremerton,1636.0
Work,HOV2,Burien,488.0
Work,HOV2,Cascade,1183.0
Work,HOV2,Duwamish,9102.0
Work,HOV2,Everett,2178.0
Work,HOV2,Federal Way,274.0
Work,HOV2,Frederickson,338.0
Work,HOV2,Greater Downtown Kirkland,1240.0
Work,HOV2,Issaquah,905.0
Work,HOV2,Kent,1046.0
Work,HOV2,Kent MIC,8284.0
Work,HOV2,Kirkland Totem Lake,1921.0
Work,HOV2,Lakewood,645.0
Work,HOV2,Lynnwood,1787.0
Work,HOV2,North Tukwila,991.0
Work,HOV2,Not in RGC,163153.0
Work,HOV2,Paine Field / Boeing Everett,5854.0
Work,HOV2,Port of Tacoma,1271.0
Work,HOV2,Puget Sound Industrial Center- Bremerton,42.0
Work,HOV2,Puyallup Downtown,510.0
Work,HOV2,Puyallup South Hill,990.0
Work,HOV2,Redmond Downtown,1028.0
Work,HOV2,Redmond-Overlake,4164.0
Work,HOV2,Renton,2074.0
Work,HOV2,SeaTac,3383.0
Work,HOV2,Seattle Downtown,17430.0
Work,HOV2,Seattle First Hill/Capitol Hill,5324.0
Work,HOV2,Seattle Northgate,1559.0
Work,HOV2,Seattle South Lake Union,5652.0
Work,HOV2,Seattle University Community,3875.0
Work,HOV2,Seattle Uptown,2004.0
Work,HOV2,Silverdale,1132.0
Work,HOV2,Sumner Pacific,2055.0
Work,HOV2,Tacoma Downtown,6567.0
Work,HOV2,Tacoma Mall,1063.0
Work,HOV2,Tukwila,2731.0
Work,HOV2,University Place,606.0
Work,HOV3+,Auburn,292.0
Work,HOV3+,Ballard-Interbay,950.0
Work,HOV3+,Bellevue,2954.0
Work,HOV3+,Bothell Canyon Park,812.0
Work,HOV3+,Bremerton,796.0
Work,HOV3+,Burien,273.0
Work,HOV3+,Cascade,602.0
Work,HOV3+,Duwamish,4481.0
Work,HOV3+,Everett,1199.0
Work,HOV3+,Federal Way,131.0
Work,HOV3+,Frederickson,160.0
Work,HOV3+,Greater Downtown Kirkland,627.0
Work,HOV3+,Issaquah,435.0
Work,HOV3+,Kent,556.0
Work,HOV3+,Kent MIC,4143.0
Work,HOV3+,Kirkland Totem Lake,979.0
Work,HOV3+,Lakewood,348.0
Work,HOV3+,Lynnwood,883.0
Work,HOV3+,North Tukwila,494.0
Work,HOV3+,Not in RGC,81657.0
Work,HOV3+,Paine Field / Boeing Everett,3037.0
Work,HOV3+,Port of Tacoma,674.0
Work,HOV3+,Puget Sound Industrial Center- Bremerton,20.0
Work,HOV3+,Puyallup Downtown,243.0
Work,HOV3+,Puyallup South Hill,569.0
Work,HOV3+,Redmond Downtown,523.0
Work,HOV3+,Redmond-Overlake,2159.0
Work,HOV3+,Renton,1043.0
Work,HOV3+,SeaTac,1716.0
Work,HOV3+,Seattle Downtown,8621.0
