year,center,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Public Education,Total
2010,Ballard-Interbay,1174,239,3153,1194,6165,2031,334,0,14289
2010,Cascade,624,4,2743,239,615,833,524,20,5602
2010,Duwamish,5898,1228,13310,2499,15069,13417,6875,90,58385
2010,Frederickson,321,8,2284,S,S,358,111,0,3335
2010,Kent MIC,2528,525,12465,1887,5865,13911,523,0,37705
2010,North Tukwila,255,S,S,297,2344,862,2334,0,13483
2010,Paine Field / Boeing Everett,1000,S,S,427,2521,2385,1530,197,42388
2010,Port of Tacoma,377,48,3328,152,1190,3484,679,0,9258
2010,Puget Sound Industrial Center- Bremerton,71,0,388,S,S,98,112,0,870
2010,Sumner Pacific,2235,140,1362,68,358,2430,83,0,6677
2010,MIC Total,14484,2289,80653,6897,34449,39810,13104,307,191993
2011,Ballard-Interbay,1323,202,3250,1054,6636,2117,328,0,14911
2011,Cascade,560,6,3116,239,629,864,514,17,5945
2011,Duwamish,5256,1189,13505,3245,14302,13229,6773,90,57588
2011,Frederickson,370,12,2334,S,S,351,107,0,3456
2011,Kent MIC,2458,525,12190,1614,6349,13557,515,0,37209
2011,North Tukwila,252,S,S,289,3005,931,2142,0,13737
2011,Paine Field / Boeing Everett,975,S,S,344,2838,2356,1466,176,45982
2011,Port of Tacoma,453,102,3170,149,1163,3789,698,0,9523
2011,Puget Sound Industrial Center- Bremerton,92,0,379,S,S,71,105,0,874
2011,Sumner Pacific,1860,100,1693,86,357,3474,79,0,7648
2011,MIC Total,13598,2213,84504,7159,35647,40739,12728,284,196874
2012,Ballard-Interbay,1363,361,3422,1018,6989,2090,263,0,15505
2012,Cascade,570,10,3165,239,620,1076,524,24,6227
2012,Duwamish,5898,942,12117,3022,16162,13668,6089,84,57982
2012,Frederickson,317,11,2690,129,121,341,139,0,3748
2012,Kent MIC,2665,461,12956,1558,6199,13261,571,0,37671
2012,North Tukwila,202,S,S,285,2859,1109,2074,0,14181
2012,Paine Field / Boeing Everett,965,S,S,324,2804,2256,1431,192,51349
2012,Port of Tacoma,380,131,3180,177,1236,2579,659,0,8344
2012,Puget Sound Industrial Center- Bremerton,67,0,409,0,201,85,131,0,894
2012,Sumner Pacific,2006,108,2057,241,412,3282,76,0,8181
2012,MIC Total,14433,2097,90951,6994,37604,39747,11957,300,204082
2013,Ballard-Interbay,1362,449,3574,1049,7062,2193,265,0,15951
2013,Cascade,602,12,3333,247,627,1136,512,24,6492
2013,Duwamish,6142,1022,12613,3083,16830,13672,5959,86,59407
2013,Frederickson,355,S,2829,S,340,352,136,0,4156
2013,Kent MIC,3416,526,13053,1769,6712,13664,574,0,39715
2013,North Tukwila,232,S,S,236,2837,671,1852,0,13851
2013,Paine Field / Boeing Everett,955,S,S,226,2808,2160,1374,189,53633
2013,Port of Tacoma,347,S,3278,S,1106,2828,501,0,8294
2013,Puget Sound Industrial Center- Bremerton,74,0,502,0,194,91,130,0,990
2013,Sumner Pacific,2178,111,2283,250,458,3952,76,0,9309
2013,MIC Total,15664,2390,95275,7097,38974,40719,11378,300,211797
2014,Ballard-Interbay,1146,586,3415,1051,6683,2597,291,0,15770
2014,Cascade,605,9,3560,344,625,1093,482,27,6746
2014,Duwamish,6260,1093,12984,3575,17630,15683,5399,106,62730
2014,Frederickson,305,14,3008,139,339,346,162,0,4314
2014,Kent MIC,3498,600,13230,1735,6655,13347,533,0,39597
2014,North Tukwila,205,S,S,237,2672,761,1844,0,13647
2014,Paine Field / Boeing Everett,909,S,S,271,2762,2157,1224,205,50995
2014,Port of Tacoma,375,76,3454,104,1377,3938,521,0,9846
2014,Puget Sound Industrial Center- Bremerton,95,0,478,0,215,79,123,0,990
2014,Sumner Pacific,2544,132,2172,1059,385,4514,79,0,10885
2014,MIC Total,15943,2629,93578,8515,39343,44516,10659,338,215521
