year,center,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Public Education,Total
2015,Ballard-Interbay,1399,678,4296,1122,7224,2699,289,0,17707
2015,Cascade,799,13,3906,359,657,1188,465,28,7414
2015,Duwamish,6955,1168,13390,3017,18330,15928,5402,109,64299
2015,Frederickson,384,11,2986,155,446,439,152,0,4572
2015,Kent MIC,3860,641,14049,1746,7001,14096,525,0,41917
2015,North Tukwila,603,S,S,238,2346,788,1816,0,13804
2015,Paine Field / Boeing Everett,1093,S,S,257,2978,2273,1283,209,51187
2015,Port of Tacoma,415,82,3450,78,1394,3895,667,0,9980
2015,Puget Sound Industrial Center- Bremerton,67,0,396,0,150,63,124,0,800
2015,Sumner Pacific,2356,150,2101,1807,392,4609,80,0,11496
2015,MIC Total,17930,2955,95467,8779,40918,45978,10804,346,223176
2016,Ballard-Interbay,1373,701,3872,1123,7083,2815,257,0,17224
2016,Cascade,1160,14,3781,420,573,1140,457,28,7572
2016,Duwamish,7914,1181,12870,3142,18276,14998,5735,123,64238
2016,Frederickson,405,38,3083,195,473,425,151,0,4769
2016,Kent MIC,3745,730,14884,2344,7309,16403,582,0,45997
2016,North Tukwila,641,S,S,324,2371,781,1819,0,13439
2016,Paine Field / Boeing Everett,1100,S,S,125,3201,2317,1283,128,51032
2016,Port of Tacoma,524,59,3121,113,1789,3773,682,0,10062
2016,Puget Sound Industrial Center- Bremerton,54,0,483,0,154,62,177,0,930
2016,Sumner Pacific,2323,155,2433,1510,456,4834,76,0,11786
2016,MIC Total,19238,3099,94684,9296,41684,47550,11220,278,227050
2017,Ballard-Interbay,1610,718,3371,1100,6882,2670,263,0,16615
2017,Cascade,1292,16,3567,576,579,1192,456,29,7707
2017,Duwamish,8604,1720,12864,3160,19291,15492,5901,127,67158
2017,Frederickson,281,37,3012,227,497,404,151,0,4610
2017,Kent MIC,4532,777,14828,2041,8118,18205,644,0,49147
2017,North Tukwila,605,S,S,357,2383,673,1905,0,12869
2017,Paine Field / Boeing Everett,1207,S,S,126,3114,2187,1336,244,48520
2017,Port of Tacoma,595,78,2794,129,1652,3887,708,0,9843
2017,Puget Sound Industrial Center- Bremerton,71,0,488,0,169,91,169,0,989
2017,Sumner Pacific,2473,172,2573,1502,603,4784,81,0,12188
2017,MIC Total,21270,3752,90517,9217,43288,49587,11614,400,229646
2018,Ballard-Interbay,1723,288,3344,1184,7067,2415,254,0,16275
2018,Cascade,1465,16,3565,558,818,1183,473,30,8109
2018,Duwamish,8826,1614,12844,3199,19778,14772,5581,767,67382
2018,Frederickson,341,42,2924,200,560,478,309,0,4854
2018,Kent MIC,5256,818,13318,2199,8507,18738,658,0,49495
2018,North Tukwila,736,S,S,389,2510,753,1943,0,12574
2018,Paine Field / Boeing Everett,1247,S,S,145,3004,2225,1319,357,45607
2018,Port of Tacoma,487,84,2657,114,1659,3599,555,0,9155
2018,Puget Sound Industrial Center- Bremerton,56,S,464,S,165,91,171,0,958
2018,Sumner Pacific,2809,192,2749,398,644,6759,85,0,13634
2018,MIC Total,22946,3300,85173,8394,44712,51014,11349,1154,228043
2019,Ballard-Interbay,1590,287,3337,1207,5170,2325,253,0,14169
2019,Cascade,1604,16,3761,548,848,1185,497,29,8488
2019,Duwamish,9766,2215,13902,3112,19567,14491,6225,800,70079
2019,Frederickson,391,49,3205,196,571,472,458,0,5341
2019,Kent MIC,5450,923,14588,2312,8641,17781,661,0,50355
2019,North Tukwila,627,S,S,363,2759,699,1936,0,11697
2019,Paine Field / Boeing Everett,1195,S,S,S,3297,2395,1432,243,48899
2019,Port of Tacoma,420,96,2595,289,1781,4173,582,0,9937
2019,Puget Sound Industrial Center- Bremerton,75,S,420,S,181,91,174,0,955
2019,Sumner Pacific,3032,218,2816,430,834,6436,26,0,13792
2019,MIC Total,24150,4080,89852,8615,43648,50049,12244,1073,233711
2020,Ballard-Interbay,1612,262,2585,1483,10023,1840,267,0,18071
2020,Cascade,1507,23,3640,580,869,1135,526,31,8312
2020,Duwamish,10194,2291,13626,3041,20071,14472,6376,728,70798
2020,Frederickson,392,44,3177,187,647,534,363,17,5362
2020,Kent MIC,5638,881,14251,2024,8605,16645,726,0,48771
2020,North Tukwila,630,S,S,345,2746,622,1944,41,11336
2020,Paine Field / Boeing Everett,1143,S,S,S,3256,2706,1485,264,51163
2020,Port of Tacoma,532,121,2487,346,1469,4327,575,0,9857
2020,Puget Sound Industrial Center- Bremerton,104,S,444,S,148,93,177,0,980
2020,Sumner Pacific,3065,257,3172,504,872,6670,25,0,14566
2020,MIC Total,24815,4179,90243,8681,48707,49043,12465,1082,239215
2021,Ballard-Interbay,1497,271,2254,1652,8605,1622,344,0,16245
2021,Cascade,1625,23,2893,686,780,1171,537,29,7744
2021,Duwamish,10122,2276,12216,2953,17192,13106,6030,742,64636
2021,Frederickson,374,38,2467,344,750,424,373,26,4794
2021,Kent MIC,5768,843,13669,2033,8021,14861,925,0,46119
2021,North Tukwila,550,S,S,272,2508,530,1863,41,10234
2021,Paine Field / Boeing Everett,1229,S,S,S,2840,2462,1406,144,40337
2021,Port of Tacoma,537,116,2351,358,1679,3542,706,0,9289
2021,Puget Sound Industrial Center- Bremerton,73,S,439,S,151,104,182,0,968
2021,Sumner Pacific,3036,257,2829,650,923,9531,25,0,17250
2021,MIC Total,24811,4088,75417,9128,43448,47354,12391,982,217618
2022,Ballard-Interbay,1565,272,2402,1602,9442,1737,366,0,17385
2022,Cascade,1438,17,3201,728,852,1974,516,33,8761
2022,Duwamish,10365,2421,12436,3057,18499,14656,5462,802,67699
2022,Frederickson,421,38,2722,379,839,613,428,27,5466
2022,Kent MIC,5600,844,14512,2084,5671,16633,1040,0,46384
2022,North Tukwila,453,S,S,281,2525,670,1930,43,11285
2022,Paine Field / Boeing Everett,1328,S,S,S,3098,2758,1340,141,41449
2022,Port of Tacoma,534,105,2353,419,1675,4164,692,0,9941
2022,Puget Sound Industrial Center- Bremerton,75,S,544,S,183,259,181,0,1256
2022,Sumner Pacific,2816,284,2851,782,1015,7352,24,0,15124
2022,MIC Total,24595,4386,78612,9518,43799,50816,11979,1046,224751
2023,Ballard-Interbay,1581,273,2327,1657,9246,1781,373,0,17238
2023,Cascade,1406,27,3430,767,957,2069,526,42,9224
2023,Duwamish,9145,2363,13113,3009,19163,14138,5588,771,67291
2023,Frederickson,480,49,2786,422,975,721,436,60,5930
2023,Kent MIC,5273,834,15452,1997,5347,16168,1059,0,46129
2023,North Tukwila,308,S,S,269,969,740,1965,47,8758
2023,Paine Field / Boeing Everett,1341,S,S,166,3276,3010,1462,130,44371
2023,Port of Tacoma,471,S,2377,S,1933,4155,748,0,10296
2023,Puget Sound Industrial Center- Bremerton,94,S,440,S,191,281,229,0,1249
2023,Sumner Pacific,2739,249,2564,874,1065,7422,22,0,14936
2023,MIC Total,22838,4258,81588,9675,43123,50485,12407,1049,225423
