year,geography,geography_type,grouping,estimate,concept,share,data_year
2020,Burien,Regional Growth Center (12/12/2023),Population,3870,Center Overview,1,2020
2021,Burien,Regional Growth Center (12/12/2023),Population,3890,Center Overview,1,2021
2022,Burien,Regional Growth Center (12/12/2023),Population,3900,Center Overview,1,2022
2010,Everett,Regional Growth Center (12/12/2023),Housing Units,3070,Center Overview,1,2010
2020,Everett,Regional Growth Center (12/12/2023),Housing Units,3870,Center Overview,1,2020
2021,Everett,Regional Growth Center (12/12/2023),Housing Units,3910,Center Overview,1,2021
2022,Everett,Regional Growth Center (12/12/2023),Housing Units,4070,Center Overview,1,2022
2010,Everett,Regional Growth Center (12/12/2023),Population,6170,Center Overview,1,2010
2020,Everett,Regional Growth Center (12/12/2023),Population,7300,Center Overview,1,2020
2021,Everett,Regional Growth Center (12/12/2023),Population,7050,Center Overview,1,2021
2022,Everett,Regional Growth Center (12/12/2023),Population,7360,Center Overview,1,2022
2010,Federal Way,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2010
2020,Federal Way,Regional Growth Center (12/12/2023),Housing Units,60,Center Overview,1,2020
2021,Federal Way,Regional Growth Center (12/12/2023),Housing Units,260,Center Overview,1,2021
2022,Federal Way,Regional Growth Center (12/12/2023),Housing Units,260,Center Overview,1,2022
2010,Federal Way,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2010
2020,Federal Way,Regional Growth Center (12/12/2023),Population,80,Center Overview,1,2020
2021,Federal Way,Regional Growth Center (12/12/2023),Population,330,Center Overview,1,2021
2022,Federal Way,Regional Growth Center (12/12/2023),Population,330,Center Overview,1,2022
2010,Issaquah,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2010
2020,Issaquah,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2020
2021,Issaquah,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2021
2022,Issaquah,Regional Growth Center (12/12/2023),Housing Units,0,Center Overview,1,2022
2010,Issaquah,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2010
2020,Issaquah,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2020
2021,Issaquah,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2021
2022,Issaquah,Regional Growth Center (12/12/2023),Population,0,Center Overview,1,2022
2010,Kent,Regional Growth Center (12/12/2023),Housing Units,590,Center Overview,1,2010
2020,Kent,Regional Growth Center (12/12/2023),Housing Units,920,Center Overview,1,2020
2021,Kent,Regional Growth Center (12/12/2023),Housing Units,1090,Center Overview,1,2021
2022,Kent,Regional Growth Center (12/12/2023),Housing Units,1090,Center Overview,1,2022
2010,Kent,Regional Growth Center (12/12/2023),Population,1470,Center Overview,1,2010
2020,Kent,Regional Growth Center (12/12/2023),Population,2320,Center Overview,1,2020
2021,Kent,Regional Growth Center (12/12/2023),Population,2770,Center Overview,1,2021
2022,Kent,Regional Growth Center (12/12/2023),Population,2670,Center Overview,1,2022
2010,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Housing Units,3440,Center Overview,1,2010
2020,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Housing Units,9650,Center Overview,1,2020
2021,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Housing Units,9700,Center Overview,1,2021
2022,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Housing Units,9700,Center Overview,1,2022
2010,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Population,5180,Center Overview,1,2010
2020,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Population,16700,Center Overview,1,2020
2021,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Population,16710,Center Overview,1,2021
2022,Kirkland Greater Downtown,Regional Growth Center (12/12/2023),Population,16800,Center Overview,1,2022
2010,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Housing Units,3090,Center Overview,1,2010
2020,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Housing Units,3100,Center Overview,1,2020
2021,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Housing Units,3150,Center Overview,1,2021
2022,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Housing Units,3320,Center Overview,1,2022
2010,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Population,5280,Center Overview,1,2010
2020,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Population,5780,Center Overview,1,2020
2021,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Population,5870,Center Overview,1,2021
2022,Kirkland Totem Lake,Regional Growth Center (12/12/2023),Population,6170,Center Overview,1,2022
2010,Lakewood,Regional Growth Center (12/12/2023),Housing Units,220,Center Overview,1,2010
2020,Lakewood,Regional Growth Center (12/12/2023),Housing Units,230,Center Overview,1,2020
2021,Lakewood,Regional Growth Center (12/12/2023),Housing Units,240,Center Overview,1,2021
2022,Lakewood,Regional Growth Center (12/12/2023),Housing Units,300,Center Overview,1,2022
2010,Lakewood,Regional Growth Center (12/12/2023),Population,400,Center Overview,1,2010
2020,Lakewood,Regional Growth Center (12/12/2023),Population,550,Center Overview,1,2020
2021,Lakewood,Regional Growth Center (12/12/2023),Population,560,Center Overview,1,2021
2022,Lakewood,Regional Growth Center (12/12/2023),Population,700,Center Overview,1,2022
2010,Lynnwood,Regional Growth Center (12/12/2023),Housing Units,1190,Center Overview,1,2010
2020,Lynnwood,Regional Growth Center (12/12/2023),Housing Units,1870,Center Overview,1,2020
2021,Lynnwood,Regional Growth Center (12/12/2023),Housing Units,1870,Center Overview,1,2021
2022,Lynnwood,Regional Growth Center (12/12/2023),Housing Units,2110,Center Overview,1,2022
2010,Lynnwood,Regional Growth Center (12/12/2023),Population,2450,Center Overview,1,2010
2020,Lynnwood,Regional Growth Center (12/12/2023),Population,3770,Center Overview,1,2020
2021,Lynnwood,Regional Growth Center (12/12/2023),Population,3770,Center Overview,1,2021
2022,Lynnwood,Regional Growth Center (12/12/2023),Population,4270,Center Overview,1,2022
2010,Puyallup Downtown,Regional Growth Center (12/12/2023),Housing Units,680,Center Overview,1,2010
2020,Puyallup Downtown,Regional Growth Center (12/12/2023),Housing Units,690,Center Overview,1,2020
2021,Puyallup Downtown,Regional Growth Center (12/12/2023),Housing Units,690,Center Overview,1,2021
2022,Puyallup Downtown,Regional Growth Center (12/12/2023),Housing Units,690,Center Overview,1,2022
2010,Puyallup Downtown,Regional Growth Center (12/12/2023),Population,1270,Center Overview,1,2010
2020,Puyallup Downtown,Regional Growth Center (12/12/2023),Population,1510,Center Overview,1,2020
2021,Puyallup Downtown,Regional Growth Center (12/12/2023),Population,1510,Center Overview,1,2021
2022,Puyallup Downtown,Regional Growth Center (12/12/2023),Population,1510,Center Overview,1,2022
2010,Puyallup South Hill,Regional Growth Center (12/12/2023),Housing Units,1180,Center Overview,1,2010
2020,Puyallup South Hill,Regional Growth Center (12/12/2023),Housing Units,1640,Center Overview,1,2020
2021,Puyallup South Hill,Regional Growth Center (12/12/2023),Housing Units,1670,Center Overview,1,2021
2022,Puyallup South Hill,Regional Growth Center (12/12/2023),Housing Units,1660,Center Overview,1,2022
2010,Puyallup South Hill,Regional Growth Center (12/12/2023),Population,2110,Center Overview,1,2010
2020,Puyallup South Hill,Regional Growth Center (12/12/2023),Population,2730,Center Overview,1,2020
2021,Puyallup South Hill,Regional Growth Center (12/12/2023),Population,2820,Center Overview,1,2021
2022,Puyallup South Hill,Regional Growth Center (12/12/2023),Population,2790,Center Overview,1,2022
2010,Redmond Downtown,Regional Growth Center (12/12/2023),Housing Units,2060,Center Overview,1,2010
2020,Redmond Downtown,Regional Growth Center (12/12/2023),Housing Units,5630,Center Overview,1,2020
2021,Redmond Downtown,Regional Growth Center (12/12/2023),Housing Units,5830,Center Overview,1,2021
2022,Redmond Downtown,Regional Growth Center (12/12/2023),Housing Units,5820,Center Overview,1,2022
2010,Redmond Downtown,Regional Growth Center (12/12/2023),Population,3180,Center Overview,1,2010
2020,Redmond Downtown,Regional Growth Center (12/12/2023),Population,8300,Center Overview,1,2020
2021,Redmond Downtown,Regional Growth Center (12/12/2023),Population,8590,Center Overview,1,2021
2022,Redmond Downtown,Regional Growth Center (12/12/2023),Population,8610,Center Overview,1,2022
2010,Redmond Overlake,Regional Growth Center (12/12/2023),Housing Units,560,Center Overview,1,2010
2020,Redmond Overlake,Regional Growth Center (12/12/2023),Housing Units,1690,Center Overview,1,2020
2021,Redmond Overlake,Regional Growth Center (12/12/2023),Housing Units,1770,Center Overview,1,2021
2022,Redmond Overlake,Regional Growth Center (12/12/2023),Housing Units,2280,Center Overview,1,2022
2010,Redmond Overlake,Regional Growth Center (12/12/2023),Population,900,Center Overview,1,2010
2020,Redmond Overlake,Regional Growth Center (12/12/2023),Population,2900,Center Overview,1,2020
2021,Redmond Overlake,Regional Growth Center (12/12/2023),Population,3010,Center Overview,1,2021
2022,Redmond Overlake,Regional Growth Center (12/12/2023),Population,3940,Center Overview,1,2022
2010,Renton,Regional Growth Center (12/12/2023),Housing Units,2640,Center Overview,1,2010
2020,Renton,Regional Growth Center (12/12/2023),Housing Units,3060,Center Overview,1,2020
2021,Renton,Regional Growth Center (12/12/2023),Housing Units,3060,Center Overview,1,2021
2022,Renton,Regional Growth Center (12/12/2023),Housing Units,3060,Center Overview,1,2022
2010,Renton,Regional Growth Center (12/12/2023),Population,3160,Center Overview,1,2010
2020,Renton,Regional Growth Center (12/12/2023),Population,4940,Center Overview,1,2020
2021,Renton,Regional Growth Center (12/12/2023),Population,4940,Center Overview,1,2021
2022,Renton,Regional Growth Center (12/12/2023),Population,4940,Center Overview,1,2022
2010,SeaTac,Regional Growth Center (12/12/2023),Housing Units,4080,Center Overview,1,2010
2020,SeaTac,Regional Growth Center (12/12/2023),Housing Units,5040,Center Overview,1,2020
2021,SeaTac,Regional Growth Center (12/12/2023),Housing Units,5170,Center Overview,1,2021
2022,SeaTac,Regional Growth Center (12/12/2023),Housing Units,5150,Center Overview,1,2022
2010,SeaTac,Regional Growth Center (12/12/2023),Population,9720,Center Overview,1,2010
2020,SeaTac,Regional Growth Center (12/12/2023),Population,12100,Center Overview,1,2020
2021,SeaTac,Regional Growth Center (12/12/2023),Population,12720,Center Overview,1,2021
2022,SeaTac,Regional Growth Center (12/12/2023),Population,12650,Center Overview,1,2022
2010,Seattle Downtown,Regional Growth Center (12/12/2023),Housing Units,20210,Center Overview,1,2010
2020,Seattle Downtown,Regional Growth Center (12/12/2023),Housing Units,29580,Center Overview,1,2020
2021,Seattle Downtown,Regional Growth Center (12/12/2023),Housing Units,30320,Center Overview,1,2021
2022,Seattle Downtown,Regional Growth Center (12/12/2023),Housing Units,31520,Center Overview,1,2022
2010,Seattle Downtown,Regional Growth Center (12/12/2023),Population,27160,Center Overview,1,2010
2020,Seattle Downtown,Regional Growth Center (12/12/2023),Population,41860,Center Overview,1,2020
2021,Seattle Downtown,Regional Growth Center (12/12/2023),Population,42800,Center Overview,1,2021
2022,Seattle Downtown,Regional Growth Center (12/12/2023),Population,44490,Center Overview,1,2022
2010,Seattle First Hill/Capitol Hill,Regional Growth Center (12/12/2023),Housing Units,25300,Center Overview,1,2010
2020,Seattle First Hill/Capitol Hill,Regional Growth Center (12/12/2023),Housing Units,34010,Center Overview,1,2020
2021,Seattle First Hill/Capitol Hill,Regional Growth Center (12/12/2023),Housing Units,35660,Center Overview,1,2021
2022,Seattle First Hill/Capitol Hill,Regional Growth Center (12/12/2023),Housing Units,37060,Center Overview,1,2022
2010,Seattle First Hill/Capitol Hill,Regional Growth Center (12/12/2023),Population,35560,Center Overview,1,2010
2020,Seattle First Hill/Capitol Hill,Regional Growth Center (12/12/2023),Population,49450,Center Overview,1,2020
2021,Seattle First Hill/Capitol Hill,Regional Growth Center (12/12/2023),Population,50680,Center Overview,1,2021
2022,Seattle First Hill/Capitol Hill,Regional Growth Center (12/12/2023),Population,53720,Center Overview,1,2022
2010,Seattle Northgate,Regional Growth Center (12/12/2023),Housing Units,4260,Center Overview,1,2010
2020,Seattle Northgate,Regional Growth Center (12/12/2023),Housing Units,4880,Center Overview,1,2020
2021,Seattle Northgate,Regional Growth Center (12/12/2023),Housing Units,4890,Center Overview,1,2021
2022,Seattle Northgate,Regional Growth Center (12/12/2023),Housing Units,5370,Center Overview,1,2022
2010,Seattle Northgate,Regional Growth Center (12/12/2023),Population,6470,Center Overview,1,2010
2020,Seattle Northgate,Regional Growth Center (12/12/2023),Population,8410,Center Overview,1,2020
2021,Seattle Northgate,Regional Growth Center (12/12/2023),Population,8430,Center Overview,1,2021
2022,Seattle Northgate,Regional Growth Center (12/12/2023),Population,9090,Center Overview,1,2022
2010,Seattle South Lake Union,Regional Growth Center (12/12/2023),Housing Units,2750,Center Overview,1,2010
2020,Seattle South Lake Union,Regional Growth Center (12/12/2023),Housing Units,9180,Center Overview,1,2020
2021,Seattle South Lake Union,Regional Growth Center (12/12/2023),Housing Units,9320,Center Overview,1,2021
2022,Seattle South Lake Union,Regional Growth Center (12/12/2023),Housing Units,9320,Center Overview,1,2022
2010,Seattle South Lake Union,Regional Growth Center (12/12/2023),Population,3730,Center Overview,1,2010
2020,Seattle South Lake Union,Regional Growth Center (12/12/2023),Population,12860,Center Overview,1,2020
2021,Seattle South Lake Union,Regional Growth Center (12/12/2023),Population,13020,Center Overview,1,2021
2022,Seattle South Lake Union,Regional Growth Center (12/12/2023),Population,12960,Center Overview,1,2022
2010,Seattle University Community,Regional Growth Center (12/12/2023),Housing Units,8320,Center Overview,1,2010
2020,Seattle University Community,Regional Growth Center (12/12/2023),Housing Units,11620,Center Overview,1,2020
2021,Seattle University Community,Regional Growth Center (12/12/2023),Housing Units,12120,Center Overview,1,2021
2022,Seattle University Community,Regional Growth Center (12/12/2023),Housing Units,14060,Center Overview,1,2022
2010,Seattle University Community,Regional Growth Center (12/12/2023),Population,22890,Center Overview,1,2010
2020,Seattle University Community,Regional Growth Center (12/12/2023),Population,30460,Center Overview,1,2020
2021,Seattle University Community,Regional Growth Center (12/12/2023),Population,25170,Center Overview,1,2021
2022,Seattle University Community,Regional Growth Center (12/12/2023),Population,34310,Center Overview,1,2022
2010,Seattle Uptown,Regional Growth Center (12/12/2023),Housing Units,5440,Center Overview,1,2010
2020,Seattle Uptown,Regional Growth Center (12/12/2023),Housing Units,7810,Center Overview,1,2020
2021,Seattle Uptown,Regional Growth Center (12/12/2023),Housing Units,8070,Center Overview,1,2021
2022,Seattle Uptown,Regional Growth Center (12/12/2023),Housing Units,8330,Center Overview,1,2022
2010,Seattle Uptown,Regional Growth Center (12/12/2023),Population,6870,Center Overview,1,2010
2020,Seattle Uptown,Regional Growth Center (12/12/2023),Population,11490,Center Overview,1,2020
2021,Seattle Uptown,Regional Growth Center (12/12/2023),Population,11850,Center Overview,1,2021
2022,Seattle Uptown,Regional Growth Center (12/12/2023),Population,12190,Center Overview,1,2022
2010,Silverdale,Regional Growth Center (12/12/2023),Housing Units,1390,Center Overview,1,2010
2020,Silverdale,Regional Growth Center (12/12/2023),Housing Units,1370,Center Overview,1,2020
2021,Silverdale,Regional Growth Center (12/12/2023),Housing Units,1370,Center Overview,1,2021
2022,Silverdale,Regional Growth Center (12/12/2023),Housing Units,1370,Center Overview,1,2022
2010,Silverdale,Regional Growth Center (12/12/2023),Population,2190,Center Overview,1,2010
2020,Silverdale,Regional Growth Center (12/12/2023),Population,2270,Center Overview,1,2020
2021,Silverdale,Regional Growth Center (12/12/2023),Population,2270,Center Overview,1,2021
2022,Silverdale,Regional Growth Center (12/12/2023),Population,2270,Center Overview,1,2022
2010,Tacoma Downtown,Regional Growth Center (12/12/2023),Housing Units,7820,Center Overview,1,2010
2020,Tacoma Downtown,Regional Growth Center (12/12/2023),Housing Units,9250,Center Overview,1,2020
2021,Tacoma Downtown,Regional Growth Center (12/12/2023),Housing Units,9380,Center Overview,1,2021
2022,Tacoma Downtown,Regional Growth Center (12/12/2023),Housing Units,9640,Center Overview,1,2022
2010,Tacoma Downtown,Regional Growth Center (12/12/2023),Population,13000,Center Overview,1,2010
2020,Tacoma Downtown,Regional Growth Center (12/12/2023),Population,16340,Center Overview,1,2020
2021,Tacoma Downtown,Regional Growth Center (12/12/2023),Population,16050,Center Overview,1,2021
2022,Tacoma Downtown,Regional Growth Center (12/12/2023),Population,16670,Center Overview,1,2022
2010,Tacoma Mall,Regional Growth Center (12/12/2023),Housing Units,2030,Center Overview,1,2010
