name,year,total_population,household_population,group_quarters,housing_units,households,geography
Algona,2010,3016.8947368421054,3006.8947368421054,10,1019.0701754385965,954.030701754386,City
Algona,2011,3057.9063151342825,3047.9063151342825,10,1038.0701754385964,966.0346990802831,City
Algona,2012,3072.9367348687692,3062.9367348687692,10,1038.0705613922655,971.0340641088653,City
Algona,2013,3077.971482879237,3067.971482879237,10,1038.0705613922655,971.7560546941925,City
Algona,2014,3093.1525148759806,3083.1525148759806,10,1038.1188201904297,974.5393167211298,City
Algona,2015,3108.2748778995715,3098.2748778995715,10,1043.1644825182464,980.2391419828983,City
Algona,2016,3178.330565636618,3168.330565636618,10,1053.1694649144224,998.0988187204327,City
Algona,2017,3183.33619313491,3173.33619313491,10,1053.1694649144224,998.9568182836499,City
Algona,2018,3183.3211262974155,3173.3211262974155,10,1050.1713341991253,994.7250781554715,City
Algona,2019,3193.5430164172303,3183.5430164172303,10,1054.2692115597565,997.813077640622,City
Algona,2020,3293.6024091533413,3279.6024091533413,14.000000000000002,1049.3364485981308,1014.2359569106146,City
Algona,2021,3293.961529578004,3279.961529578004,14.000000000000002,1049.4675123691559,1011.853427655786,City
Algona,2022,3303.9611860480263,3289.9611860480263,14.000000000000002,1055.4691476732771,1015.8549138586098,City
Arlington,2010,18013.76662880509,17806.76662880509,207,6968.309571406937,6595.906019990913,City
Arlington,2011,18017.612649754417,17810.612649754417,207,6970.295686544672,6596.2582731373195,City
Arlington,2012,18049.801935464853,17835.801935464853,214,6991.281694235102,6612.179387999285,City
Arlington,2013,18337.76277427315,18133.76277427315,204,7094.303037207556,6708.901307297865,City
Arlington,2014,18421.98158229944,18217.98158229944,204,7116.280975359685,6735.879680497403,City
Arlington,2015,18554.02765902686,18353.02765902686,201,7116.706387445433,6775.81184814237,City
Arlington,2016,18684.86722253949,18466.86722253949,218,7119.720995367669,6800.62451678764,City
Arlington,2017,18756.211906974695,18564.211906974695,192,7138.748816272719,6834.090462081454,City
Arlington,2018,19369.709150868814,19182.709150868814,187,7349.87399523137,7064.143978507697,City
Arlington,2019,19810.323364101077,19616.32336410108,194,7548.873974786977,7254.081576816972,City
Arlington,2020,19930.399930739404,19833.399930739404,97,7767.2,7381.199987006187,City
Arlington,2021,20752.312254238128,20655.312254238128,97,8224.19601304531,7743.885619783401,City
Arlington,2022,21263.394654512405,21166.394654512405,97,8469.19601751566,7998.945602083207,City
Auburn,2010,70209.66648002986,69541.66648002986,668,27844.501306457634,26068.090332213513,City
Auburn,2011,70734.739365744,70055.739365744,679,28012.500942948773,26241.745593491665,City
Auburn,2012,71269.87795778381,70593.87795778381,676,28216.476038744797,26378.32830642037,City
Auburn,2013,73265.0642781445,72589.0642781445,676,28874.474022091392,27125.26977462132,City
Auburn,2014,74660.75723003325,73975.75723003325,685,29286.620600374878,27583.41323356113,City
Auburn,2015,75576.10554422332,74907.10554422332,669,29536.744643603524,27896.417167358588,City
Auburn,2016,77091.45420751371,76415.45420751371,676,29661.79869987752,28334.16200528238,City
Auburn,2017,78991.52608238217,78315.52608238217,676,30168.797222636003,28700.199433584447,City
Auburn,2018,80646.51043618852,79988.51043618852,658,30702.895368041303,29265.04623305004,City
Auburn,2019,81750.48823793899,81072.48823793899,678,31355.886119535164,29716.851288574064,City
Auburn,2020,87266.17991742924,86350.17991742924,916,31951.30128205128,30810.12662544391,City
Auburn,2021,88090.17503868398,87362.17503868398,728,32338.30130255528,31120.909647981756,City
Auburn,2022,88761.13809143871,87863.13809143871,898,32603.715331561034,31359.027897863278,City
Bainbridge Island,2010,22860.96680959438,22649.96680959438,211,10506.682769057024,9402.449751583667,City
Bainbridge Island,2011,22866.068148308605,22659.068148308605,207,10526.668424091486,9397.79520260772,City
Bainbridge Island,2012,22924.789532629544,22727.789532629544,197,10546.373222317176,9408.89671847643,City
Bainbridge Island,2013,23024.18319645856,22817.18319645856,207,10591.093467380197,9436.667557129285,City
Bainbridge Island,2014,23193.63602906906,22960.63602906906,233,10656.864631385477,9489.956691132782,City
Bainbridge Island,2015,23224.76073612759,22992.76073612759,232,10676.205386830105,9496.854216637423,City
Bainbridge Island,2016,23591.850029797257,23338.850029797257,253,10753.536689668374,9631.688625132425,City
Bainbridge Island,2017,23779.177230636138,23528.177230636138,251,10842.462499776113,9706.806160416874,City
Bainbridge Island,2018,24146.691234366448,23918.691234366448,228,10979.476614901047,9875.91425265915,City
Bainbridge Island,2019,24345.57899034847,24139.57899034847,206,11102.97366184941,10000.40374213754,City
Bainbridge Island,2020,24630.93353037511,24412.93353037511,218,11172.364373904931,10087.765776450538,City
Bainbridge Island,2021,24732.715357697467,24534.715357697467,198,11234.11877891419,10112.952571269816,City
Bainbridge Island,2022,24861.674646638858,24663.674646638858,198,11303.453932707984,10165.616794159263,City
Beaux Arts,2010,299,299,0,118,113,City
Beaux Arts,2011,299.99999713897705,299.99999713897705,0,118,113,City
Beaux Arts,2012,300.00000190734863,300.00000190734863,0,120.00000000000001,112.99700200557706,City
Beaux Arts,2013,290.0000014305115,290.0000014305115,0,117.0000022649765,107.12300026416779,City
Beaux Arts,2014,295.0000057220459,295.0000057220459,0,118.00000131130217,108.12400031089783,City
Beaux Arts,2015,300,300,0,118.99999940395355,109.4319999217987,City
Beaux Arts,2016,300.00000047683716,300.00000047683716,0,117.99999821186066,110.51800119876862,City
Beaux Arts,2017,300.0000009536743,300.0000009536743,0,118.99999821186066,108.51700150966646,City
Beaux Arts,2018,299.9999976158142,299.9999976158142,0,119.99999833106993,109.5189983844757,City
Beaux Arts,2019,299.99999952316284,299.99999952316284,0,118.99999833106993,107.56599831581117,City
Beaux Arts,2020,317.00000381469727,317.00000381469727,0,118.00000000000001,105.99999785423279,City
Beaux Arts,2021,315.0000066757202,315.0000066757202,0,118.00000000000001,105.99999785423279,City
Beaux Arts,2022,315.0000066757202,315.0000066757202,0,118.00000000000001,105.99999785423279,City
Bellevue,2010,127815.95335592769,126615.95335592769,1200,57638.43421052631,52328.13920122275,City
Bellevue,2011,128893.12879968819,127715.12879968819,1178,58189.36422865328,53109.01085284143,City
Bellevue,2012,130159.092168915,128968.092168915,1191,58348.88362386122,53891.07648030449,City
Bellevue,2013,132021.67620105873,130827.67620105874,1194,58488.94592747396,54744.74437917096,City
Bellevue,2014,134319.57603108193,133124.57603108193,1195,58569.94930825868,55410.36708948232,City
Bellevue,2015,134919.61208936622,133730.61208936622,1189,58992.95148733652,55602.72387452887,City
Bellevue,2016,139317.73122530957,138143.73122530957,1174,60392.31798520607,57405.12027810343,City
Bellevue,2017,140617.86602396506,139461.86602396506,1156,61077.39019515866,57501.9890554372,City
Bellevue,2018,142302.67047679282,141171.67047679282,1131,61656.946053035776,58011.42031900249,City
Bellevue,2019,145201.61863897697,143798.61863897697,1403,62314.94924585792,58546.087701494995,City
Bellevue,2020,151744.82241633802,150305.62776481453,1439.1946515234902,64645.65373939719,60911.71549421516,City
Bellevue,2021,152490.8177256324,151155.6230741089,1335.1946515234902,65151.63505125169,61303.55436429581,City
Bellevue,2022,153791.00980690928,152271.8151553858,1519.1946515234902,65848.63191980647,61819.74198444254,City
Black Diamond,2010,4153,4153,0,1686,1547,City
Black Diamond,2011,4159.99999666214,4159.99999666214,0,1688.9999930858612,1547.8939993977547,City
Black Diamond,2012,4170.000007510185,4170.000007510185,0,1689.999988168478,1546.0529923439026,City
Black Diamond,2013,4170.000003397465,4170.000003397465,0,1690.9999881684782,1545.3319993019104,City
Black Diamond,2014,4179.999979794025,4179.999979794025,0,1690.999988168478,1544.9600148797035,City
Black Diamond,2015,4199.999988496304,4199.999988496304,0,1697.999988168478,1552.7640101909637,City
Black Diamond,2016,4304.99997895956,4304.99997895956,0,1713.9999872148037,1586.03100669384,City
Black Diamond,2017,4335.000024735928,4335.000024735928,0,1726.9999874532223,1597.2709941864014,City
Black Diamond,2018,4359.9999697208405,4359.9999697208405,0,1734.9999876916409,1606.0399999022484,City
Black Diamond,2019,4524.999994173646,4524.999994173646,0,1808.0000012516975,1667.0379918105898,City
Black Diamond,2020,4683.410022735596,4683.410022735596,0,1835,1723.4090105295181,City
Black Diamond,2021,5306.208014249802,5306.208014249802,0,2088.999997496605,1957.003996491432,City
Black Diamond,2022,6131.913946151733,6131.913946151733,0,2567.033008337021,2262.239000082016,City
Bonney Lake,2010,17587.5,17531.5,56,6474,6067,City
Bonney Lake,2011,17713.141580820084,17657.141580820084,56,6523.999995172024,6101.734020769596,City
Bonney Lake,2012,17943.383004188538,17887.383004188538,56,6597.8950111866,6177.413003027439,City
Bonney Lake,2013,18223.974420309067,18167.974420309067,56,6674.895042717457,6263.962996125221,City
Bonney Lake,2014,18733.589923262596,18677.589923262596,56,6838.979044735432,6433.734974682331,City
