dpurp,mode,hh_rgc,trexpfac
None/Home,,Not in RGC,12.0
None/Home,Walk,Auburn,458.0
None/Home,Walk,Ballard-Interbay,143.0
None/Home,Walk,Bellevue,10770.0
None/Home,Walk,Bothell Canyon Park,77.0
None/Home,Walk,Bremerton,1476.0
None/Home,Walk,Burien,856.0
None/Home,Walk,Cascade,175.0
None/Home,Walk,Duwamish,333.0
None/Home,Walk,Everett,3625.0
None/Home,Walk,Frederickson,50.0
None/Home,Walk,Kent,536.0
None/Home,Walk,Kent MIC,67.0
None/Home,Walk,Kirkland Totem Lake,1108.0
None/Home,Walk,Lakewood,615.0
None/Home,Walk,Lynnwood,872.0
None/Home,Walk,North Tukwila,4.0
None/Home,Walk,Not in RGC,560563.0
None/Home,Walk,Paine Field / Boeing Everett,64.0
None/Home,Walk,Port of Tacoma,1.0
None/Home,Walk,Puget Sound Industrial Center- Bremerton,1.0
None/Home,Walk,Puyallup Downtown,500.0
None/Home,Walk,Puyallup South Hill,339.0
None/Home,Walk,Redmond Downtown,2789.0
None/Home,Walk,Redmond-Overlake,1001.0
None/Home,Walk,Renton,1625.0
None/Home,Walk,SeaTac,1848.0
None/Home,Walk,Seattle Downtown,38520.0
None/Home,Walk,Seattle First Hill/Capitol Hill,41183.0
None/Home,Walk,Seattle Northgate,2732.0
None/Home,Walk,Seattle South Lake Union,12093.0
None/Home,Walk,Seattle University Community,11667.0
None/Home,Walk,Seattle Uptown,7633.0
None/Home,Walk,Silverdale,873.0
None/Home,Walk,Sumner Pacific,12.0
None/Home,Walk,Tacoma Downtown,7399.0
None/Home,Walk,Tacoma Mall,1560.0
None/Home,Walk,Tukwila,47.0
None/Home,Walk,University Place,1504.0
None/Home,Bike,Auburn,36.0
None/Home,Bike,Ballard-Interbay,19.0
None/Home,Bike,Bellevue,407.0
None/Home,Bike,Bothell Canyon Park,19.0
None/Home,Bike,Bremerton,90.0
None/Home,Bike,Burien,100.0
None/Home,Bike,Cascade,30.0
None/Home,Bike,Duwamish,23.0
None/Home,Bike,Everett,240.0
None/Home,Bike,Frederickson,16.0
None/Home,Bike,Kent,66.0
None/Home,Bike,Kent MIC,10.0
None/Home,Bike,Kirkland Totem Lake,178.0
None/Home,Bike,Lakewood,74.0
None/Home,Bike,Lynnwood,119.0
None/Home,Bike,Not in RGC,75237.0
None/Home,Bike,Paine Field / Boeing Everett,12.0
None/Home,Bike,Puyallup Downtown,39.0
None/Home,Bike,Puyallup South Hill,49.0
None/Home,Bike,Redmond Downtown,234.0
None/Home,Bike,Redmond-Overlake,74.0
None/Home,Bike,Renton,204.0
None/Home,Bike,SeaTac,273.0
None/Home,Bike,Seattle Downtown,1605.0
None/Home,Bike,Seattle First Hill/Capitol Hill,2367.0
None/Home,Bike,Seattle Northgate,366.0
None/Home,Bike,Seattle South Lake Union,715.0
None/Home,Bike,Seattle University Community,2110.0
None/Home,Bike,Seattle Uptown,587.0
None/Home,Bike,Silverdale,49.0
None/Home,Bike,Tacoma Downtown,719.0
None/Home,Bike,Tacoma Mall,156.0
None/Home,Bike,Tukwila,6.0
None/Home,Bike,University Place,185.0
None/Home,SOV,Auburn,651.0
None/Home,SOV,Ballard-Interbay,263.0
None/Home,SOV,Bellevue,5944.0
None/Home,SOV,Bothell Canyon Park,322.0
None/Home,SOV,Bremerton,1085.0
None/Home,SOV,Burien,1971.0
None/Home,SOV,Cascade,639.0
None/Home,SOV,Duwamish,709.0
None/Home,SOV,Everett,2922.0
None/Home,SOV,Frederickson,326.0
None/Home,SOV,Kent,643.0
None/Home,SOV,Kent MIC,107.0
None/Home,SOV,Kirkland Totem Lake,3769.0
None/Home,SOV,Lakewood,1214.0
None/Home,SOV,Lynnwood,1964.0
None/Home,SOV,North Tukwila,12.0
None/Home,SOV,Not in RGC,2311706.0
None/Home,SOV,Paine Field / Boeing Everett,278.0
None/Home,SOV,Puget Sound Industrial Center- Bremerton,23.0
None/Home,SOV,Puyallup Downtown,685.0
None/Home,SOV,Puyallup South Hill,839.0
None/Home,SOV,Redmond Downtown,4184.0
None/Home,SOV,Redmond-Overlake,1325.0
None/Home,SOV,Renton,3521.0
None/Home,SOV,SeaTac,5266.0
None/Home,SOV,Seattle Downtown,8589.0
None/Home,SOV,Seattle First Hill/Capitol Hill,16682.0
None/Home,SOV,Seattle Northgate,4679.0
None/Home,SOV,Seattle South Lake Union,5346.0
None/Home,SOV,Seattle University Community,7309.0
None/Home,SOV,Seattle Uptown,5078.0
None/Home,SOV,Silverdale,1204.0
None/Home,SOV,Sumner Pacific,31.0
None/Home,SOV,Tacoma Downtown,5857.0
None/Home,SOV,Tacoma Mall,2496.0
None/Home,SOV,Tukwila,51.0
None/Home,SOV,University Place,3306.0
None/Home,HOV2,Auburn,470.0
None/Home,HOV2,Ballard-Interbay,120.0
None/Home,HOV2,Bellevue,3177.0
None/Home,HOV2,Bothell Canyon Park,139.0
None/Home,HOV2,Bremerton,682.0
None/Home,HOV2,Burien,1100.0
None/Home,HOV2,Cascade,471.0
None/Home,HOV2,Duwamish,307.0
None/Home,HOV2,Everett,1584.0
None/Home,HOV2,Frederickson,232.0
None/Home,HOV2,Kent,505.0
None/Home,HOV2,Kent MIC,96.0
None/Home,HOV2,Kirkland Totem Lake,1587.0
None/Home,HOV2,Lakewood,860.0
None/Home,HOV2,Lynnwood,1130.0
None/Home,HOV2,North Tukwila,9.0
None/Home,HOV2,Not in RGC,1371809.0
None/Home,HOV2,Paine Field / Boeing Everett,204.0
None/Home,HOV2,Port of Tacoma,2.0
None/Home,HOV2,Puget Sound Industrial Center- Bremerton,8.0
None/Home,HOV2,Puyallup Downtown,398.0
None/Home,HOV2,Puyallup South Hill,514.0
None/Home,HOV2,Redmond Downtown,1868.0
None/Home,HOV2,Redmond-Overlake,741.0
None/Home,HOV2,Renton,1615.0
None/Home,HOV2,SeaTac,3725.0
None/Home,HOV2,Seattle Downtown,4903.0
None/Home,HOV2,Seattle First Hill/Capitol Hill,8174.0
None/Home,HOV2,Seattle Northgate,2379.0
None/Home,HOV2,Seattle South Lake Union,2537.0
None/Home,HOV2,Seattle University Community,4214.0
None/Home,HOV2,Seattle Uptown,2171.0
None/Home,HOV2,Silverdale,558.0
None/Home,HOV2,Sumner Pacific,28.0
None/Home,HOV2,Tacoma Downtown,3459.0
None/Home,HOV2,Tacoma Mall,1490.0
None/Home,HOV2,Tukwila,37.0
None/Home,HOV2,University Place,1958.0
None/Home,HOV3+,Auburn,327.0
None/Home,HOV3+,Ballard-Interbay,43.0
None/Home,HOV3+,Bellevue,1719.0
None/Home,HOV3+,Bothell Canyon Park,105.0
None/Home,HOV3+,Bremerton,422.0
None/Home,HOV3+,Burien,710.0
None/Home,HOV3+,Cascade,384.0
None/Home,HOV3+,Duwamish,146.0
None/Home,HOV3+,Everett,953.0
None/Home,HOV3+,Frederickson,190.0
None/Home,HOV3+,Kent,375.0
None/Home,HOV3+,Kent MIC,72.0
None/Home,HOV3+,Kirkland Totem Lake,846.0
None/Home,HOV3+,Lakewood,631.0
None/Home,HOV3+,Lynnwood,844.0
None/Home,HOV3+,North Tukwila,10.0
None/Home,HOV3+,Not in RGC,1034043.0
None/Home,HOV3+,Paine Field / Boeing Everett,165.0
None/Home,HOV3+,Puyallup Downtown,251.0
None/Home,HOV3+,Puyallup South Hill,266.0
None/Home,HOV3+,Redmond Downtown,1127.0
None/Home,HOV3+,Redmond-Overlake,539.0
None/Home,HOV3+,Renton,1035.0
None/Home,HOV3+,SeaTac,3128.0
None/Home,HOV3+,Seattle Downtown,2153.0
None/Home,HOV3+,Seattle First Hill/Capitol Hill,3839.0
None/Home,HOV3+,Seattle Northgate,1308.0
None/Home,HOV3+,Seattle South Lake Union,1008.0
None/Home,HOV3+,Seattle University Community,2469.0
None/Home,HOV3+,Seattle Uptown,942.0
None/Home,HOV3+,Silverdale,312.0
None/Home,HOV3+,Sumner Pacific,19.0
None/Home,HOV3+,Tacoma Downtown,1917.0
None/Home,HOV3+,Tacoma Mall,944.0
None/Home,HOV3+,Tukwila,37.0
None/Home,HOV3+,University Place,1317.0
None/Home,Transit,Auburn,135.0
None/Home,Transit,Ballard-Interbay,40.0
None/Home,Transit,Bellevue,1059.0
