parcel_id	land_use_type_id	description	name	x_coord_sp	y_coord_sp
993	26	Vacant Developable	Renton	1300310	179435
994	24	Single Family Residential	Renton	1300150	179316
995	24	Single Family Residential	Renton	1300150	179390
1008	24	Single Family Residential	Renton	1300150	179579
1009	24	Single Family Residential	Renton	1300150	179651
1010	3	Commercial	Renton	1300340	179560
1011	18	Office	Renton	1300310	179669
1013	18	Office	Renton	1301970	178396
1014	24	Single Family Residential	Renton	1300950	179265
1015	14	Multi-Family Residential	Renton	1299280	178368
1016	24	Single Family Residential	Renton	1300950	179171
1017	23	School	Renton	1299470	179050
1018	22	Right-of-Way	Renton	1302270	178223
1019	19	Park and Open Space	Renton	1301380	179033
1022	14	Multi-Family Residential	Renton	1300490	179209
1023	26	Vacant Developable	Renton	1300490	179514
1024	26	Vacant Developable	Renton	1300310	179200
1028	14	Multi-Family Residential	Renton	1301370	178948
1029	24	Single Family Residential	Renton	1301360	178792
1030	24	Single Family Residential	Renton	1301240	178807
1031	24	Single Family Residential	Renton	1301250	179004
1032	14	Multi-Family Residential	Renton	1301240	178907
1033	14	Multi-Family Residential	Renton	1301070	178996
1034	24	Single Family Residential	Renton	1301240	178858
1035	24	Single Family Residential	Renton	1301250	178956
1036	24	Single Family Residential	Renton	1301070	179069
1037	19	Park and Open Space	Renton	1301300	179132
1038	2	Civic and Quasi-Public	Renton	1301070	179194
1039	24	Single Family Residential	Renton	1300780	179124
1040	14	Multi-Family Residential	Renton	1301510	179010
1043	24	Single Family Residential	Renton	1300780	179224
1049	24	Single Family Residential	Renton	1300780	179276
1051	24	Single Family Residential	Renton	1300780	179174
1054	24	Single Family Residential	Renton	1300350	179131
1056	24	Single Family Residential	Renton	1300060	179409
1057	14	Multi-Family Residential	Renton	1300150	179440
1058	24	Single Family Residential	Renton	1300780	179326
1062	26	Vacant Developable	Renton	1301510	178890
1064	24	Single Family Residential	Renton	1300780	179424
1065	24	Single Family Residential	Renton	1300780	179374
1066	2	Civic and Quasi-Public	Renton	1300720	179550
1069	24	Single Family Residential	Renton	1300950	179121
1070	24	Single Family Residential	Renton	1300960	179312
1071	26	Vacant Developable	Renton	1300490	179375
1075	20	Parking	Renton	1300660	179352
1076	2	Civic and Quasi-Public	Renton	1299280	178151
1077	18	Office	Renton	1300950	179485
1078	24	Single Family Residential	Renton	1300960	179412
1079	24	Single Family Residential	Renton	1301070	178921
1080	26	Vacant Developable	Renton	1300950	179220
1083	26	Vacant Developable	Renton	1301080	178869
1091	20	Parking	Renton	1299280	178263
1092	24	Single Family Residential	Renton	1301080	179314
1094	25	Transportation, Communication, Utilities	Renton	1299550	178365
1095	14	Multi-Family Residential	Renton	1300960	179362
1106	14	Multi-Family Residential	Renton	1300520	179753
1265	20	Parking	Seattle First Hill/Capitol Hill	1275040	223247
1266	14	Multi-Family Residential	Seattle First Hill/Capitol Hill	1274970	223060
1272	23	School	Seattle First Hill/Capitol Hill	1274790	222897
1298	14	Multi-Family Residential	Seattle First Hill/Capitol Hill	1274970	223283
1299	24	Single Family Residential	Seattle First Hill/Capitol Hill	1274970	223107
1305	18	Office	Seattle First Hill/Capitol Hill	1275040	223097
1318	26	Vacant Developable	Seattle First Hill/Capitol Hill	1274970	223228
1320	14	Multi-Family Residential	Seattle First Hill/Capitol Hill	1274970	223137
1321	26	Vacant Developable	Seattle First Hill/Capitol Hill	1274970	223167
1329	26	Vacant Developable	Seattle First Hill/Capitol Hill	1274970	223210
1330	26	Vacant Developable	Seattle First Hill/Capitol Hill	1274970	223192
2180	30	Mixed Use	Bellevue	1305050	226690
2394	3	Commercial	Auburn	1294460	114584
2395	24	Single Family Residential	Auburn	1294460	114544
2396	3	Commercial	Auburn	1294620	114587
2397	24	Single Family Residential	Auburn	1294620	114537
2398	26	Vacant Developable	Auburn	1294720	114506
2399	26	Vacant Developable	Auburn	1294770	114491
2400	28	Warehousing	Auburn	1294740	114396
2401	24	Single Family Residential	Auburn	1294770	114566
2402	3	Commercial	Auburn	1294870	114572
2403	26	Vacant Developable	Auburn	1294870	114493
2404	26	Vacant Developable	Auburn	1294870	114433
2405	3	Commercial	Auburn	1294870	114393
3304	3	Commercial	SeaTac	1280240	174319
3305	26	Vacant Developable	SeaTac	1280110	174324
3306	10	Industrial	SeaTac	1280200	174172
3307	24	Single Family Residential	SeaTac	1280140	174039
3308	3	Commercial	SeaTac	1280270	174023
3309	14	Multi-Family Residential	SeaTac	1280310	173867
3310	3	Commercial	SeaTac	1280320	173795
3311	24	Single Family Residential	SeaTac	1280230	173850
3312	3	Commercial	SeaTac	1280300	173931
3313	14	Multi-Family Residential	SeaTac	1280140	173867
3314	24	Single Family Residential	SeaTac	1279990	173824
3315	24	Single Family Residential	SeaTac	1279960	173965
3316	24	Single Family Residential	SeaTac	1279920	174041
3317	24	Single Family Residential	SeaTac	1279960	173907
3318	24	Single Family Residential	SeaTac	1279820	173939
3319	24	Single Family Residential	SeaTac	1279870	173828
3320	24	Single Family Residential	SeaTac	1279790	173830
3321	24	Single Family Residential	SeaTac	1279720	173844
3322	24	Single Family Residential	SeaTac	1279730	173943
3323	14	Multi-Family Residential	SeaTac	1279720	174047
3532	7	Government	SeaTac	1279850	173328
3533	18	Office	SeaTac	1279760	173623
3534	26	Vacant Developable	SeaTac	1279890	173628
3535	14	Multi-Family Residential	SeaTac	1279970	173626
3536	20	Parking	SeaTac	1280090	173338
3537	14	Multi-Family Residential	SeaTac	1280070	173622
3538	3	Commercial	SeaTac	1280310	173370
3539	20	Parking	SeaTac	1280160	173645
3540	24	Single Family Residential	SeaTac	1280310	173665
3541	3	Commercial	SeaTac	1280370	173623
3542	14	Multi-Family Residential	SeaTac	1280240	173642
3546	18	Office	SeaTac	1280510	173612
3548	26	Vacant Developable	SeaTac	1280520	173679
3607	20	Parking	SeaTac	1279780	172899
3846	30	Mixed Use	Seattle South Lake Union	1268170	233418
3847	30	Mixed Use	Seattle South Lake Union	1268170	233497
3848	30	Mixed Use	Seattle South Lake Union	1268270	233485
3849	30	Mixed Use	Seattle South Lake Union	1268270	233405
3850	30	Mixed Use	Seattle South Lake Union	1268530	233430
4444	30	Mixed Use	Seattle Downtown	1272610	221303
9237	15	Condo Residential	Seattle Downtown	1265040	229076
9295	7	Government	Redmond Downtown	1323880	248992
9297	2	Civic and Quasi-Public	Redmond Downtown	1323530	248908
9309	23	School	Redmond Downtown	1324260	249266
9311	14	Multi-Family Residential	Redmond Downtown	1323460	250206
9313	14	Multi-Family Residential	Redmond Downtown	1323900	249922
9314	14	Multi-Family Residential	Redmond Downtown	1323820	249743
9315	14	Multi-Family Residential	Redmond Downtown	1323760	250014
9316	24	Single Family Residential	Redmond Downtown	1323870	249532
9318	24	Single Family Residential	Redmond Downtown	1323760	250071
9319	26	Vacant Developable	Redmond Downtown	1323750	249534
9320	14	Multi-Family Residential	Redmond Downtown	1323880	250012
9321	24	Single Family Residential	Redmond Downtown	1323880	250068
9322	26	Vacant Developable	Redmond Downtown	1323860	250197
9329	24	Single Family Residential	Redmond Downtown	1323170	250396
9330	22	Right-of-Way	Redmond Downtown	1323170	250171
9332	18	Office	Redmond Downtown	1323330	250231
9333	24	Single Family Residential	Redmond Downtown	1323170	250276
9353	26	Vacant Developable	Redmond Downtown	1323760	250209
9354	14	Multi-Family Residential	Redmond Downtown	1323780	249924
9355	14	Multi-Family Residential	Redmond Downtown	1323580	250200
11220	3	Commercial	Greater Downtown Kirkland	1302270	249216
11221	20	Parking	Greater Downtown Kirkland	1302390	249181
12020	15	Condo Residential	Burien	1266560	176359
12021	24	Single Family Residential	Greater Downtown Kirkland	1302200	246872
12022	24	Single Family Residential	Greater Downtown Kirkland	1302220	246974
12023	24	Single Family Residential	Greater Downtown Kirkland	1302320	246858
12024	24	Single Family Residential	Greater Downtown Kirkland	1302250	247051
12025	26	Vacant Developable	Greater Downtown Kirkland	1302380	246954
12026	24	Single Family Residential	Greater Downtown Kirkland	1302400	247038
12027	26	Vacant Developable	Greater Downtown Kirkland	1302500	246953
12028	24	Single Family Residential	Greater Downtown Kirkland	1302520	247033
12029	17	No Land Use Code	Greater Downtown Kirkland	1302320	247041
12030	15	Condo Residential	Greater Downtown Kirkland	1302110	246954
12197	15	Condo Residential	Seattle First Hill/Capitol Hill	1272590	230186
12394	30	Mixed Use	Seattle South Lake Union	1268140	232653
12477	30	Mixed Use	Seattle First Hill/Capitol Hill	1272570	229108
12478	15	Condo Residential	Seattle First Hill/Capitol Hill	1272570	229004
12556	24	Single Family Residential	Greater Downtown Kirkland	1309780	249624
12557	24	Single Family Residential	Greater Downtown Kirkland	1309920	249625
12567	26	Vacant Developable	Greater Downtown Kirkland	1310030	249513
12568	17	No Land Use Code	Greater Downtown Kirkland	1309780	249588
13551	15	Condo Residential	Seattle Uptown	1263080	231840
13552	14	Multi-Family Residential	Seattle South Lake Union	1271340	231196
13553	18	Office	Seattle South Lake Union	1271330	230997
13554	18	Office	Seattle South Lake Union	1271470	231013
13555	14	Multi-Family Residential	Seattle South Lake Union	1271480	231193
14376	2	Civic and Quasi-Public	Seattle First Hill/Capitol Hill	1275310	227761
14377	3	Commercial	Seattle First Hill/Capitol Hill	1275240	227611
14378	18	Office	Seattle First Hill/Capitol Hill	1275240	227680
14631	15	Condo Residential	Seattle Uptown	1263590	231876
14632	3	Commercial	Tukwila	1289170	171359
14633	21	Recreation	Tukwila	1289160	171035
14634	3	Commercial	Tukwila	1289680	171198
14635	3	Commercial	Tukwila	1290130	171455
14636	3	Commercial	Tukwila	1290130	171226
14637	20	Parking	Tukwila	1290130	171062
14638	18	Office	Tukwila	1290140	170949
14639	3	Commercial	Tukwila	1290180	170792
15425	21	Recreation	Tukwila	1289160	170582
15426	26	Vacant Developable	Tukwila	1289160	170810
15427	28	Warehousing	Tukwila	1289460	170501
15428	26	Vacant Developable	Tukwila	1289580	170497
15429	28	Warehousing	Tukwila	1289480	170708
15430	26	Vacant Developable	Tukwila	1289500	170607
15431	3	Commercial	Tukwila	1289870	170697
15432	28	Warehousing	Tukwila	1289680	170715
15433	3	Commercial	Tukwila	1289700	170507
15434	18	Office	Tukwila	1289860	170491
15435	18	Office	Tukwila	1290140	170536
15436	3	Commercial	Tukwila	1289190	169712
15437	3	Commercial	Tukwila	1289150	170119
15438	26	Vacant Developable	Tukwila	1289830	170215
15439	28	Warehousing	Tukwila	1289470	170227
15440	3	Commercial	Tukwila	1289650	170222
15441	30	Mixed Use	Tukwila	1289670	169971
15442	3	Commercial	Tukwila	1290150	170120
15443	3	Commercial	Tukwila	1290140	169870
15445	17	No Land Use Code	Tukwila	1289620	170828
15450	3	Commercial	Tukwila	1289590	169691
15451	3	Commercial	Tukwila	1289820	169676
15452	3	Commercial	Tukwila	1290130	169638
15453	26	Vacant Developable	Tukwila	1290130	169792
15454	28	Warehousing	Tukwila	1290350	169653
15455	3	Commercial	Tukwila	1290500	169635
15456	28	Warehousing	Tukwila	1290600	169580
15457	18	Office	Tukwila	1289840	169391
15458	18	Office	Tukwila	1289750	169293
15459	18	Office	Tukwila	1290140	169177
15460	28	Warehousing	Tukwila	1290110	169357
15461	28	Warehousing	Tukwila	1290730	169034
15462	10	Industrial	Tukwila	1291070	169162
15463	26	Vacant Developable	Tukwila	1291020	168565
15464	10	Industrial	Tukwila	1290310	168865
15465	3	Commercial	Tukwila	1289770	168667
15466	28	Warehousing	Tukwila	1289470	168677
15467	28	Warehousing	Tukwila	1289500	168929
15468	18	Office	Tukwila	1289800	168936
15469	26	Vacant Developable	Tukwila	1289660	168944
15470	10	Industrial	Tukwila	1289530	168387
15471	28	Warehousing	Tukwila	1289470	168032
15472	26	Vacant Developable	Tukwila	1290080	168543
15473	28	Warehousing	Tukwila	1289930	168262
15474	7	Government	Tukwila	1289910	168025
15966	3	Commercial	Redmond Downtown	1322930	249975
15967	14	Multi-Family Residential	Redmond Downtown	1322810	249711
15968	18	Office	Redmond Downtown	1322920	249253
15969	30	Mixed Use	Redmond Downtown	1322740	249271
15970	20	Parking	Redmond Downtown	1322580	249279
15972	18	Office	Redmond Downtown	1322750	248961
15973	3	Commercial	Redmond Downtown	1322920	248956
15975	14	Multi-Family Residential	Redmond Downtown	1322570	248981
15977	18	Office	Redmond Downtown	1322930	249381
15978	30	Mixed Use	Redmond Downtown	1322380	248976
15980	14	Multi-Family Residential	Redmond Downtown	1322500	248970
15982	3	Commercial	Redmond Downtown	1322960	249174
15983	18	Office	Redmond Downtown	1322610	248916
15984	24	Single Family Residential	Redmond Downtown	1322960	249115
15987	24	Single Family Residential	Redmond Downtown	1322660	249014
15988	26	Vacant Developable	Redmond Downtown	1322660	248918
15994	24	Single Family Residential	Redmond Downtown	1322850	249144
15995	14	Multi-Family Residential	Redmond Downtown	1321120	251316
15996	19	Park and Open Space	Redmond Downtown	1322240	249637
15998	3	Commercial	Redmond Downtown	1322740	250512
16000	14	Multi-Family Residential	Redmond Downtown	1322220	248988
16001	30	Mixed Use	Redmond Downtown	1322310	249289
16004	30	Mixed Use	Redmond Downtown	1321980	250323
16007	3	Commercial	Redmond Downtown	1322230	250761
16008	3	Commercial	Redmond Downtown	1321950	248966
16014	3	Commercial	Redmond Downtown	1321780	248971
16015	26	Vacant Developable	Redmond Downtown	1322490	249918
16016	20	Parking	Redmond Downtown	1322470	249598
16019	7	Government	Redmond Downtown	1322250	249952
16022	7	Government	Redmond Downtown	1323000	250732
16025	7	Government	Redmond Downtown	1321340	250351
16034	14	Multi-Family Residential	Redmond Downtown	1321920	250739
16039	3	Commercial	Redmond Downtown	1322390	250756
16040	3	Commercial	Redmond Downtown	1322550	250751
16041	3	Commercial	Redmond Downtown	1322280	250526
16042	3	Commercial	Redmond Downtown	1322020	250532
16052	23	School	Redmond Downtown	1321860	250537
16053	18	Office	Redmond Downtown	1321770	250335
16057	7	Government	Redmond Downtown	1321410	250603
16060	20	Parking	Redmond Downtown	1321060	250412
16061	22	Right-of-Way	Redmond Downtown	1321980	250438
16062	3	Commercial	Redmond Downtown	1321870	251148
16842	15	Condo Residential	Burien	1269010	173367
17407	30	Mixed Use	Seattle Uptown	1267720	229444
17434	15	Condo Residential	Seattle First Hill/Capitol Hill	1275090	228650
17604	30	Mixed Use	Seattle Downtown	1267240	227254
17869	15	Condo Residential	Seattle First Hill/Capitol Hill	1275070	231317
18312	30	Mixed Use	Seattle Downtown	1266710	228170
18313	15	Condo Residential	Seattle Downtown	1266710	228170
18428	14	Multi-Family Residential	Seattle University Community	1276170	245859
18756	15	Condo Residential	Seattle First Hill/Capitol Hill	1272610	231465
19838	14	Multi-Family Residential	Seattle Downtown	1269880	228778
20190	15	Condo Residential	Kirkland Totem Lake	1311130	264126
20373	30	Mixed Use	Seattle South Lake Union	1271340	231096
20375	15	Condo Residential	Seattle First Hill/Capitol Hill	1273970	232021
20782	30	Mixed Use	Bellevue	1305450	228622
20783	15	Condo Residential	Seattle Northgate	1271190	261352
21216	30	Mixed Use	Bellevue	1301940	225440
21218	30	Mixed Use	Seattle Uptown	1264660	230463
21272	20	Parking	Auburn	1293820	115631
21831	30	Mixed Use	Auburn	1294170	115979
23171	24	Single Family Residential	SeaTac	1279490	155046
23180	14	Multi-Family Residential	SeaTac	1279600	155973
23196	24	Single Family Residential	SeaTac	1279550	155060
23216	24	Single Family Residential	SeaTac	1279380	155047
23654	14	Multi-Family Residential	Seattle First Hill/Capitol Hill	1271610	227068
24719	30	Mixed Use	Seattle Downtown	1265990	228386
25984	15	Condo Residential	Seattle Northgate	1270630	261983
27171	22	Right-of-Way	SeaTac	1277800	157721
27172	24	Single Family Residential	SeaTac	1279240	157872
27173	26	Vacant Developable	SeaTac	1279010	157798
27174	26	Vacant Developable	SeaTac	1279080	157782
27175	24	Single Family Residential	SeaTac	1279110	157915
27176	24	Single Family Residential	SeaTac	1279240	157953
27177	20	Parking	SeaTac	1278090	160547
27178	26	Vacant Developable	SeaTac	1279240	157792
27179	17	No Land Use Code	SeaTac	1277630	157813
27181	3	Commercial	SeaTac	1278100	157774
27182	26	Vacant Developable	SeaTac	1279140	157780
27184	24	Single Family Residential	SeaTac	1279250	158045
27187	26	Vacant Developable	SeaTac	1277770	159331
27188	26	Vacant Developable	SeaTac	1278130	159158
27190	3	Commercial	SeaTac	1278160	159001
27191	3	Commercial	SeaTac	1278420	157733
27192	17	No Land Use Code	SeaTac	1277630	157977
27193	3	Commercial	SeaTac	1278060	159986
27194	14	Multi-Family Residential	SeaTac	1279090	160402
27195	22	Right-of-Way	SeaTac	1277800	157807
27196	24	Single Family Residential	SeaTac	1279130	158048
27197	3	Commercial	SeaTac	1278390	157857
27198	3	Commercial	SeaTac	1278710	160508
27199	20	Parking	SeaTac	1278460	158157
27200	18	Office	SeaTac	1278970	159221
27201	3	Commercial	SeaTac	1278150	158815
27203	26	Vacant Developable	SeaTac	1278440	157984
27204	18	Office	SeaTac	1278910	159093
27206	20	Parking	SeaTac	1277810	158108
27208	20	Parking	SeaTac	1277700	157947
28731	19	Park and Open Space	SeaTac	1278940	159620
28732	7	Government	SeaTac	1277680	160237
28734	18	Office	SeaTac	1278620	159105
28735	26	Vacant Developable	SeaTac	1278860	158874
28736	14	Multi-Family Residential	SeaTac	1278630	158432
28737	13	Mobile Home Park	SeaTac	1278840	158020
28741	3	Commercial	SeaTac	1278700	160325
28742	26	Vacant Developable	SeaTac	1279190	158377
28743	18	Office	SeaTac	1278120	158243
28744	28	Warehousing	SeaTac	1278110	158031
28745	25	Transportation, Communication, Utilities	SeaTac	1277820	157941
28746	3	Commercial	SeaTac	1278320	159977
28747	18	Office	SeaTac	1278940	160040
28748	26	Vacant Developable	SeaTac	1278340	160359
28749	26	Vacant Developable	SeaTac	1278120	158320
28750	26	Vacant Developable	SeaTac	1278290	160167
28752	24	Single Family Residential	SeaTac	1278040	160306
28753	20	Parking	SeaTac	1278370	160535
28754	18	Office	SeaTac	1278560	159238
28755	20	Parking	SeaTac	1278020	159361
28756	3	Commercial	SeaTac	1278310	159131
28757	18	Office	SeaTac	1278740	159228
28758	3	Commercial	SeaTac	1278130	159628
28759	18	Office	SeaTac	1278720	159357
28760	18	Office	SeaTac	1278230	159350
28761	18	Office	SeaTac	1278300	159767
28764	3	Commercial	SeaTac	1278590	158891
28765	26	Vacant Developable	SeaTac	1277780	159169
31397	15	Condo Residential	Seattle Uptown	1263270	231044
33071	18	Office	Auburn	1294690	115679
33072	26	Vacant Developable	Auburn	1294640	115489
33073	26	Vacant Developable	Auburn	1294580	115486
33074	18	Office	Auburn	1294470	115479
33075	3	Commercial	Auburn	1294830	115497
33076	20	Parking	Auburn	1294900	115500
33077	3	Commercial	Auburn	1294770	115494
33174	26	Vacant Developable	Auburn	1295320	115392
33175	18	Office	Auburn	1295240	115388
33176	18	Office	Auburn	1295170	115386
33177	26	Vacant Developable	Auburn	1294640	115368
33178	21	Recreation	Auburn	1294410	115382
33179	3	Commercial	Auburn	1294410	115328
33180	3	Commercial	Auburn	1294510	115366
33181	3	Commercial	Auburn	1294570	115365
33182	26	Vacant Developable	Auburn	1293890	116228
33183	18	Office	Auburn	1293890	116168
33184	26	Vacant Developable	Auburn	1293890	116118
33185	18	Office	Auburn	1293890	116013
33186	18	Office	Auburn	1293760	115960
33187	14	Multi-Family Residential	Auburn	1293760	116012
33188	24	Single Family Residential	Auburn	1293760	116057
33189	18	Office	Auburn	1293760	116102
33190	26	Vacant Developable	Auburn	1293760	116192
33191	10	Industrial	Auburn	1293530	116209
33192	10	Industrial	Auburn	1293530	116126
33193	24	Single Family Residential	Auburn	1293580	116072
33194	28	Warehousing	Auburn	1293450	116031
33195	26	Vacant Developable	Auburn	1293480	115983
33196	14	Multi-Family Residential	Auburn	1293540	115982
33197	18	Office	Auburn	1293610	115957
33198	24	Single Family Residential	Auburn	1293610	116007
33199	3	Commercial	Auburn	1293590	115847
33200	14	Multi-Family Residential	Auburn	1293590	115797
33201	14	Multi-Family Residential	Auburn	1293510	115823
33202	28	Warehousing	Auburn	1293440	115824
33203	18	Office	Auburn	1293820	115783
33204	20	Parking	Auburn	1293460	115659
33205	20	Parking	Auburn	1293580	115704
33206	20	Parking	Auburn	1293580	115610
33225	18	Office	Auburn	1294240	115453
33226	20	Parking	Auburn	1294040	116005
33227	26	Vacant Developable	Auburn	1294490	116201
33228	18	Office	Auburn	1294560	116229
33229	20	Parking	Auburn	1294550	116180
33230	18	Office	Auburn	1294420	116140
33231	18	Office	Auburn	1294420	115990
33232	9	Hospital, Convalescent Center	Auburn	1294180	115744
33233	20	Parking	Auburn	1294310	115637
33280	20	Parking	Auburn	1294130	116171
33281	3	Commercial	Auburn	1293250	115538
33282	28	Warehousing	Auburn	1293080	115489
33283	26	Vacant Developable	Auburn	1293080	115606
33751	15	Condo Residential	Seattle First Hill/Capitol Hill	1272400	231666
33877	30	Mixed Use	Seattle Downtown	1266220	228001
34253	30	Mixed Use	Seattle Uptown	1265010	231952
34255	30	Mixed Use	Seattle Uptown	1265010	231952
35572	3	Commercial	Renton	1301250	186540
35573	30	Mixed Use	Renton	1301540	186603
35649	28	Warehousing	Seattle Downtown	1274850	221560
35650	20	Parking	Seattle Downtown	1275170	221007
35651	20	Parking	Seattle Downtown	1275270	221062
35652	20	Parking	Seattle Downtown	1275380	220985
35653	20	Parking	Seattle Downtown	1274960	221003
35654	20	Parking	Seattle Downtown	1274870	221078
35655	28	Warehousing	Seattle Downtown	1274810	221015
36106	18	Office	Greater Downtown Kirkland	1304020	249813
36107	7	Government	Greater Downtown Kirkland	1303310	249826
36108	22	Right-of-Way	Greater Downtown Kirkland	1306010	249908
36109	3	Commercial	Greater Downtown Kirkland	1302030	249473
36110	3	Commercial	Greater Downtown Kirkland	1301950	249715
36111	3	Commercial	Greater Downtown Kirkland	1302010	249542
36112	18	Office	Greater Downtown Kirkland	1304070	249468
36113	18	Office	Greater Downtown Kirkland	1303890	249419
36114	18	Office	Greater Downtown Kirkland	1303770	249577
36115	18	Office	Greater Downtown Kirkland	1305560	250549
36116	18	Office	Greater Downtown Kirkland	1305480	250415
36117	18	Office	Greater Downtown Kirkland	1305650	250412
36118	26	Vacant Developable	Greater Downtown Kirkland	1306200	250214
36869	15	Condo Residential	Greater Downtown Kirkland	1305350	250126
36876	14	Multi-Family Residential	Seattle Downtown	1266110	228102
37009	3	Commercial	Greater Downtown Kirkland	1301650	249646
37010	3	Commercial	Greater Downtown Kirkland	1301830	249673
37011	18	Office	Greater Downtown Kirkland	1301730	249660
37048	14	Multi-Family Residential	Seattle Downtown	1266410	227391
37049	15	Condo Residential	Seattle Downtown	1266500	227492
37050	18	Office	Seattle Downtown	1266600	227692
37051	3	Commercial	Seattle Downtown	1266650	227787
37052	3	Commercial	Seattle Downtown	1266780	227666
37053	14	Multi-Family Residential	Seattle Downtown	1266400	227830
37054	30	Mixed Use	Seattle Downtown	1266450	227973
37055	3	Commercial	Seattle Downtown	1266540	227892
37057	19	Park and Open Space	Seattle Downtown	1266160	227630
37058	26	Vacant Developable	Seattle Downtown	1266160	227594
37059	26	Vacant Developable	Seattle Downtown	1266110	227653
37060	17	No Land Use Code	Seattle Downtown	1266140	227679
37061	14	Multi-Family Residential	Seattle Downtown	1266230	227739
37062	9	Hospital, Convalescent Center	Seattle Downtown	1266300	227678
37063	28	Warehousing	Seattle Downtown	1266340	227637
37064	28	Warehousing	Seattle Downtown	1266030	227490
37065	18	Office	Seattle Downtown	1266120	227409
37066	18	Office	Seattle Downtown	1265710	227762
37067	20	Parking	Seattle Downtown	1265960	227804
37068	28	Warehousing	Seattle Downtown	1266150	228062
37069	28	Warehousing	Seattle Downtown	1266310	228098
37070	18	Office	Seattle Downtown	1266080	228304
38686	30	Mixed Use	Seattle Downtown	1266020	228782
38784	15	Condo Residential	Seattle Uptown	1262950	231809
39459	26	Vacant Developable	Seattle Downtown	1273920	221124
39460	26	Vacant Developable	Seattle Downtown	1273910	221074
39461	26	Vacant Developable	Seattle Downtown	1273910	221023
39462	26	Vacant Developable	Seattle Downtown	1273900	220973
39463	26	Vacant Developable	Seattle Downtown	1273900	220934
39464	26	Vacant Developable	Seattle Downtown	1274120	221033
39465	26	Vacant Developable	Seattle Downtown	1274230	221116
39466	26	Vacant Developable	Seattle Downtown	1274230	221002
39467	17	No Land Use Code	Seattle Downtown	1274010	221010
41971	18	Office	Greater Downtown Kirkland	1301590	249637
43831	15	Condo Residential	Seattle First Hill/Capitol Hill	1272730	227411
43943	15	Condo Residential	Seattle First Hill/Capitol Hill	1272310	228211
44221	14	Multi-Family Residential	Seattle Downtown	1265800	227948
44222	18	Office	Seattle Downtown	1265750	227988
44223	30	Mixed Use	Seattle Downtown	1265550	228265
44224	30	Mixed Use	Seattle Downtown	1265720	228453
44225	18	Office	Seattle Downtown	1265940	228695
44226	2	Civic and Quasi-Public	Seattle Downtown	1266170	228489
44227	3	Commercial	Seattle Downtown	1266210	228623
44228	18	Office	Seattle Downtown	1266300	228542
44229	30	Mixed Use	Seattle Downtown	1266460	228223
44230	20	Parking	Seattle Downtown	1266400	228283
44231	30	Mixed Use	Seattle Downtown	1266330	228343
44232	18	Office	Seattle Downtown	1266500	228356
44233	18	Office	Seattle Downtown	1266550	228315
44234	3	Commercial	Seattle Downtown	1266690	228016
44235	3	Commercial	Seattle Downtown	1266630	228067
44236	20	Parking	Seattle Downtown	1266660	228047
44237	14	Multi-Family Residential	Seattle Downtown	1266580	228117
