parcel_id	land_use_type_id	description	name	x_coord_sp	y_coord_sp
330	23	School	Seattle First Hill/Capitol Hill	1274020	226671
331	18	Office	Seattle Downtown	1269790	225639
332	30	Mixed Use	Seattle First Hill/Capitol Hill	1274360	226846
333	20	Parking	Seattle First Hill/Capitol Hill	1274360	226753
334	20	Parking	Seattle First Hill/Capitol Hill	1274360	226721
335	20	Parking	Seattle First Hill/Capitol Hill	1274390	226656
336	20	Parking	Seattle First Hill/Capitol Hill	1274360	226657
337	20	Parking	Seattle First Hill/Capitol Hill	1274320	226658
462	26	Vacant Developable	Tukwila	1290660	171877
472	26	Vacant Developable	Tukwila	1290340	170902
476	26	Vacant Developable	Tukwila	1290500	171835
783	3	Commercial	Tukwila	1290820	171455
784	24	Single Family Residential	Tukwila	1291100	171475
785	3	Commercial	Tukwila	1291570	170679
786	3	Commercial	Tukwila	1291060	170119
788	22	Right-of-Way	Tukwila	1291740	170957
789	22	Right-of-Way	Tukwila	1291940	170971
790	26	Vacant Developable	Tukwila	1291000	171852
791	28	Warehousing	Tukwila	1291430	171896
792	28	Warehousing	Tukwila	1291840	170767
793	26	Vacant Developable	Tukwila	1291390	171683
794	3	Commercial	Tukwila	1290970	171696
797	26	Vacant Developable	Tukwila	1292140	170905
798	28	Warehousing	Tukwila	1291850	171852
799	3	Commercial	Tukwila	1291530	171117
800	10	Industrial	Tukwila	1291390	171555
801	28	Warehousing	Tukwila	1291550	171569
802	25	Transportation, Communication, Utilities	Tukwila	1291850	171432
803	18	Office	Tukwila	1291400	171430
804	10	Industrial	Tukwila	1291850	171570
805	3	Commercial	Tukwila	1290910	171159
806	20	Parking	Tukwila	1291840	171195
807	26	Vacant Developable	Tukwila	1291350	171780
808	26	Vacant Developable	Tukwila	1291250	170570
809	28	Warehousing	Tukwila	1291540	171744
810	26	Vacant Developable	Tukwila	1291560	171448
811	25	Transportation, Communication, Utilities	Tukwila	1292000	170056
812	3	Commercial	Tukwila	1291260	170040
813	3	Commercial	Tukwila	1291590	170320
814	20	Parking	Tukwila	1291740	171184
815	26	Vacant Developable	Tukwila	1291750	170959
816	3	Commercial	Tukwila	1291610	170158
817	17	No Land Use Code	Tukwila	1291730	171372
989	18	Office	Renton	1301070	179383
990	14	Multi-Family Residential	Renton	1300300	179251
991	24	Single Family Residential	Renton	1300300	179314
992	24	Single Family Residential	Renton	1300300	179374
