year,center,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Public Education,Total
2013,Burien,103,208,60,1265,2485,208,451,0,4780
2013,Everett,342,1072,467,602,5205,707,3488,271,12154
2013,Federal Way,0,221,S,1076,2001,S,0,0,3410
2013,Greater Downtown Kirkland,470,1054,153,1204,4630,195,156,70,7933
2013,Issaquah,67,226,208,2126,6134,734,97,0,9591
2013,Kent,73,200,114,342,1866,31,1190,136,3952
2013,Kirkland Totem Lake,364,455,191,1787,4814,647,3430,479,12167
2013,Lakewood,62,547,6,1125,2475,23,240,0,4478
2013,Lynnwood,S,1005,S,4246,5382,279,127,199,11461
2013,Puyallup Downtown,77,139,35,192,1406,40,383,181,2452
2013,Puyallup South Hill,11,274,5,2481,2857,131,113,236,6108
2013,Redmond Downtown,50,414,35,1389,6689,79,732,73,9461
2013,Redmond-Overlake,162,373,64,542,24214,203,0,0,25556
2013,Renton,301,519,S,884,1879,S,492,195,15569
2013,SeaTac,S,542,S,S,4218,6963,280,0,12172
2013,Seattle Downtown,1573,20107,3025,7597,89621,4966,21954,86,148929
2013,Seattle First Hill/Capitol Hill,55,937,347,1942,28331,209,6496,1113,39429
2013,Seattle Northgate,62,661,135,2322,8907,144,142,29,12402
2013,Seattle South Lake Union,1289,1159,S,S,17184,560,326,0,32926
2013,Seattle University Community,79,542,53,2949,5083,226,123,26791,35846
2013,Seattle Uptown,165,1019,334,738,8121,2713,1243,36,14368
2013,Silverdale,38,534,15,2699,4473,19,301,322,8402
2013,Tacoma Downtown,392,2540,776,504,23091,492,3338,1270,32404
2013,Tacoma Mall,137,406,117,3354,2965,572,1805,42,9397
2013,Tukwila,525,494,1602,5766,7212,1678,333,0,17610
2013,University Place,108,332,58,605,1748,92,296,0,3240
2013,RGC Total,7466,42429,22169,66301,307864,25297,61123,31762,564411
2014,Auburn,37,112,151,281,2127,68,433,34,3243
2014,Bellevue,1009,5308,309,5794,28338,1818,1085,0,43661
2014,Bothell Canyon Park,131,1025,2382,571,5008,613,264,31,10025
2014,Bremerton,9,276,S,S,1508,24,11878,0,13775
2014,Burien,138,185,53,1241,2741,248,450,0,5056
2014,Everett,262,976,506,617,5126,605,3584,291,11967
2014,Federal Way,0,189,S,1065,2140,S,0,0,3503
2014,Greater Downtown Kirkland,802,996,189,1253,4800,186,128,77,8431
2014,Issaquah,80,190,179,2123,6378,807,102,0,9860
2014,Kent,92,205,77,303,1931,25,1319,120,4071
2014,Kirkland Totem Lake,556,551,189,1827,4555,562,3700,466,12405
2014,Lakewood,64,496,30,1118,2518,23,252,0,4502
2014,Lynnwood,S,901,S,4278,5425,286,122,218,11437
2014,Puyallup Downtown,82,132,39,170,1542,12,372,199,2548
2014,Puyallup South Hill,11,276,5,2513,3341,126,111,286,6669
2014,Redmond Downtown,54,441,100,1360,6964,76,764,64,9825
2014,Redmond-Overlake,107,375,96,554,25191,142,0,0,26466
2014,Renton,305,527,S,843,2200,S,477,164,15999
2014,SeaTac,S,481,S,99,4514,7961,229,0,13365
2014,Seattle Downtown,1359,20217,2619,8632,91741,3845,21950,81,150443
2014,Seattle First Hill/Capitol Hill,206,963,262,1939,27817,242,6231,1186,38847
2014,Seattle Northgate,40,630,139,2224,8914,158,149,30,12283
2014,Seattle South Lake Union,1364,1180,S,S,15439,605,461,0,35759
2014,Seattle University Community,46,550,51,2944,5667,270,119,27667,37314
2014,Seattle Uptown,166,968,358,769,8718,1777,1711,42,14510
2014,Silverdale,43,566,17,2647,4536,23,309,314,8456
2014,Tacoma Downtown,393,3701,739,482,23089,426,3395,1278,33503
2014,Tacoma Mall,144,362,115,3157,2713,512,1814,56,8874
2014,Tukwila,535,493,1685,6072,7698,1913,323,0,18720
2014,University Place,122,305,58,545,1898,118,295,0,3342
2014,RGC Total,8377,43576,22360,71640,314578,23693,62029,32604,578857
2015,Auburn,37,113,154,275,2157,70,441,39,3286
2015,Bellevue,1543,6103,287,5519,29143,2600,1105,0,46300
2015,Bothell Canyon Park,136,1123,2660,729,5041,617,263,32,10602
2015,Bremerton,S,249,129,S,1513,S,13376,0,15333
2015,Burien,183,200,55,1326,2547,222,458,0,4991
2015,Everett,251,986,602,655,5155,607,3565,295,12117
2015,Federal Way,0,S,0,1157,2166,S,0,0,3531
2015,Greater Downtown Kirkland,909,372,206,1278,5504,179,132,79,8660
2015,Issaquah,82,202,159,2148,6771,638,97,0,10097
2015,Kent,102,207,66,297,2060,23,1344,125,4223
2015,Kirkland Totem Lake,510,271,201,1696,4749,751,3927,468,12574
2015,Lakewood,67,465,29,1280,2697,19,246,0,4803
2015,Lynnwood,S,918,S,4352,6706,282,128,222,12795
2015,Puyallup Downtown,52,101,35,178,1577,18,363,202,2526
2015,Puyallup South Hill,11,285,5,2491,2743,142,109,293,6079
2015,Redmond Downtown,108,628,150,1360,7251,144,756,66,10464
2015,Redmond-Overlake,119,378,46,485,23522,211,0,0,24762
2015,Renton,342,S,S,812,2130,87,499,169,15791
2015,SeaTac,64,549,40,110,4535,8334,228,0,13861
2015,Seattle Downtown,1671,19954,2740,10239,97381,4245,21904,94,158227
2015,Seattle First Hill/Capitol Hill,305,897,265,1956,27378,262,6361,1214,38638
2015,Seattle Northgate,46,652,98,2245,9108,165,149,31,12495
2015,Seattle South Lake Union,1421,1196,S,S,15435,626,467,0,39602
2015,Seattle University Community,56,592,73,2980,5595,212,126,28443,38078
2015,Seattle Uptown,149,1001,492,766,8906,1633,1747,44,14740
2015,Silverdale,42,607,17,2687,4625,24,315,323,8640
2015,Tacoma Downtown,488,3827,794,490,23411,699,3315,1341,34365
2015,Tacoma Mall,157,349,112,3139,3533,433,1772,57,9552
2015,Tukwila,678,392,1731,6082,7832,1933,324,0,18973
2015,University Place,262,308,56,571,1850,92,297,0,3434
2015,RGC Total,9950,43528,22709,77611,323022,25366,63814,33537,599538
2016,Auburn,27,117,148,263,1994,68,475,36,3128
2016,Bellevue,1521,6149,285,5377,31133,1755,1125,0,47345
2016,Bothell Canyon Park,157,1266,2723,680,4804,765,247,35,10677
2016,Bremerton,16,S,151,S,1560,S,13834,0,15857
2016,Burien,176,194,57,1257,2857,216,483,0,5242
2016,Everett,267,990,629,711,5451,627,3411,296,12383
2016,Federal Way,0,S,0,1130,1931,S,0,0,3238
2016,Greater Downtown Kirkland,670,322,251,1269,5847,206,141,70,8777
2016,Issaquah,72,213,162,2146,7250,642,95,0,10581
2016,Kent,104,199,68,321,2198,25,1329,115,4360
2016,Kirkland Totem Lake,525,299,153,1661,4889,629,4210,435,12801
2016,Lakewood,68,471,S,1356,2851,S,380,0,5193
2016,Lynnwood,183,1136,54,4696,5877,284,116,218,12565
2016,Puyallup Downtown,73,103,30,194,1687,19,376,246,2728
2016,Puyallup South Hill,14,253,5,2617,3199,130,131,315,6664
2016,Redmond Downtown,74,576,135,1350,7440,152,831,86,10644
2016,Redmond-Overlake,102,433,39,495,24480,201,0,0,25751
2016,Renton,388,551,S,803,2337,S,641,177,15615
2016,SeaTac,67,531,36,84,4620,8648,257,0,14243
2016,Seattle Downtown,2144,20519,2761,10114,103090,4505,22431,112,165675
2016,Seattle First Hill/Capitol Hill,323,981,266,2031,29599,376,6182,1206,40964
2016,Seattle Northgate,46,802,111,2271,9250,151,122,31,12785
2016,Seattle South Lake Union,1478,1062,S,S,16971,628,395,1,44875
2016,Seattle University Community,81,593,64,2785,5982,263,132,29391,39291
2016,Seattle Uptown,171,987,470,547,9257,1621,1594,35,14682
2016,Silverdale,49,638,18,2687,4606,30,206,308,8542
2016,Tacoma Downtown,435,3840,800,505,25208,555,3243,1421,36007
2016,Tacoma Mall,185,357,108,3332,2505,405,1795,57,8743
2016,Tukwila,616,402,1805,6345,7776,1864,331,0,19140
2016,University Place,256,254,43,734,1962,82,276,0,3606
2016,RGC Total,10291,44578,22213,81963,338609,25064,64789,34593,622100
2017,Auburn,39,119,142,244,1972,82,492,37,3127
2017,Bellevue,1574,6288,207,5571,31628,2181,1121,0,48569
2017,Bothell Canyon Park,151,1365,2851,816,4914,843,241,37,11216
2017,Bremerton,S,241,195,S,1763,10,13891,0,16186
2017,Burien,197,204,61,1280,2702,196,537,0,5176
2017,Everett,391,932,570,701,5335,729,3449,317,12425
2017,Federal Way,0,99,0,1137,1788,44,0,0,3068
2017,Greater Downtown Kirkland,702,321,259,1188,6222,413,149,73,9328
2017,Issaquah,95,204,153,2158,7441,619,97,0,10767
2017,Kent,86,214,136,311,2021,25,1169,108,4071
2017,Kirkland Totem Lake,579,312,160,1828,4928,606,4454,466,13334
2017,Lakewood,40,475,S,1370,2757,S,388,0,5103
2017,Lynnwood,207,1180,53,4739,6034,247,91,220,12771
2017,Puyallup Downtown,102,92,30,205,1711,20,406,252,2817
2017,Puyallup South Hill,S,314,S,2575,3470,138,132,303,6955
2017,Redmond Downtown,95,391,102,1205,7135,165,846,91,10029
2017,Redmond-Overlake,91,390,67,596,25996,183,0,0,27322
2017,Renton,465,565,S,774,2209,S,725,177,14787
2017,SeaTac,104,655,26,93,4870,9048,299,0,15096
2017,Seattle Downtown,2658,19983,2698,10173,110157,5856,22683,134,174342
2017,Seattle First Hill/Capitol Hill,260,1014,243,2046,31179,313,6416,1104,42574
2017,Seattle Northgate,103,661,44,2191,9215,156,124,32,12526
2017,Seattle South Lake Union,1430,1302,S,S,17711,503,402,1,54381
2017,Seattle University Community,70,557,93,2712,6258,202,126,29973,39992
2017,Seattle Uptown,79,822,408,632,9041,1734,1493,37,14246
2017,Silverdale,64,650,15,2830,4493,29,212,325,8620
2017,Tacoma Downtown,415,4438,887,518,25479,438,3323,1457,36954
2017,Tacoma Mall,190,420,106,3524,2529,374,1771,58,8973
2017,Tukwila,1146,427,1989,6116,8112,1753,340,0,19882
2017,University Place,253,262,53,736,2045,70,260,0,3679
2017,RGC Total,11638,44895,21662,91028,351115,27138,65635,35203,648315
2018,Auburn,33,115,145,255,1980,83,474,36,3121
2018,Bellevue,1228,6607,237,5167,34238,2568,1143,0,51188
2018,Bothell Canyon Park,164,1265,2906,762,4618,640,246,30,10632
2018,Bremerton,29,245,101,75,1856,15,14269,0,16589
2018,Burien,205,227,54,1258,2718,156,335,165,5117
2018,Everett,377,927,580,705,5518,738,3641,281,12767
2018,Federal Way,0,S,0,1130,S,S,0,0,3043
2018,Greater Downtown Kirkland,762,313,198,1225,6895,402,148,65,10009
2018,Issaquah,110,195,134,2152,8163,682,104,0,11540
2018,Kent,60,222,194,311,2127,25,1234,105,4277
2018,Kirkland Totem Lake,707,338,128,1904,5282,597,4567,471,13996
2018,Lakewood,18,475,S,1292,2988,S,396,0,5232
